id,field_id,value,count,percentage
1,3,-,11,100.0
2,7,-,41,91.11
3,7,"النطاق الجغرافي
Geographic
Location",1,2.22
4,7,"عدد الصناديق
Number of Funds",1,2.22
5,7,"عدد المشتركين
Number of Subscribers",1,2.22
6,7,"قيم الأصول (مليون ريال)
Asset Value (million SR)",1,2.22
7,17,-,19,100.0
8,25,-,7,35.0
9,25,1,6,30.0
10,25,2,6,30.0
11,25,"طرح عام لأدوات دين
Debt Instrument Public Offering",1,5.0
12,28,-,13,65.0
13,28,1,5,25.0
14,28,"تحويل الديون
Debts Transfer",1,5.0
15,28,0,1,5.0
16,29,1,6,30.0
17,29,-,4,20.0
18,29,6,2,10.0
19,29,"خفض رأس مال
Capital Reduction",1,5.0
20,29,5,1,5.0
21,29,15,1,5.0
22,29,9,1,5.0
23,29,10,1,5.0
24,29,8,1,5.0
25,29,17,1,5.0
26,29,3,1,5.0
27,31,-,17,85.0
28,31,1,2,10.0
29,31,إصدار أسهم مع وقف العمل بحق الأولوية Share Issuance with the Suspension of Preemptive Rights,1,5.0
30,32,-,21,100.0
31,35,18,2,9.52
32,35,52,2,9.52
33,35,"دورية
Cycle",1,4.76
34,35,-,1,4.76
35,35,2,1,4.76
36,35,5,1,4.76
37,35,20,1,4.76
38,35,77,1,4.76
39,35,83 [1],1,4.76
40,35,54,1,4.76
41,35,55,1,4.76
42,35,42,1,4.76
43,35,52 [2],1,4.76
44,35,50,1,4.76
45,35,49,1,4.76
46,35,46,1,4.76
47,35,23,1,4.76
48,35,[1] Including inspection of the Saudi Stock Exchange (Tadawul),1,4.76
49,35,[2] Including inspection of the Saudi Stock Exchange (Tadawul) and The Securities Depository Center Company.,1,4.76
50,40,-,6,28.57
51,40,طرح عام لأدوات الدين,1,4.76
52,40,Debt Instrument Public Offering,1,4.76
53,40,3,1,4.76
54,40,13,1,4.76
55,40,5,1,4.76
56,40,7.7,1,4.76
57,40,7,1,4.76
58,40,5.6,1,4.76
59,40,0.2,1,4.76
60,40,7.5,1,4.76
61,40,4.5,1,4.76
62,40,3.9,1,4.76
63,40,10,1,4.76
64,40,0.1,1,4.76
65,40,1,1,4.76
66,41,-,13,61.9
67,41,0,2,9.52
68,41,تحويل الديون,1,4.76
69,41,Debts Transfer,1,4.76
70,41,0.62112885,1,4.76
71,41,2.83333334,1,4.76
72,41,2.2,1,4.76
73,41,0.5,1,4.76
74,43,"العنصر
Item",1,10.0
75,43,-,1,10.0
76,43,"أسهم مدرجة
Listed Shares",1,10.0
77,43,"صناديق استثمارية
Investment Funds",1,10.0
78,43,"أدوات دين
Debt Instruments",1,10.0
79,43,"التوريق
Securitization",1,10.0
80,43,"الملكية الخاصة/شركات تابعة وشقيقة
Private Equity/ Subsidiaries and Sister Companies",1,10.0
81,43,"عقارات
Real Estate",1,10.0
82,43,"المجموع
Total",1,10.0
83,43,[1] تتضمن بيانات مؤسسات السوق المالية مرخص لهم بالترتيب والمشورة وإدارة محافظ المستثمرين ذوي الخبرة وإدارة الصناديق الخاصة غير العقارية,1,10.0
84,100,"نوع الإعلان
Type of Announcement",1,7.69
85,100,"معلومات جوهرية
Material Information",1,7.69
86,100,"نتائج مالية
  Financial Results",1,7.69
87,100,"توصية مجلس إدارة الشركة بزيادة رأس مالها عن طريق طرح أسهم حقوق أولوية
Board of Directors’ Recommendation to Increase Capital Through Issuing Preemptive Rights",1,7.69
88,100,"توصية مجلس إدارة الشركة بزيادة رأس مالها عن طريق منح أسهم
Board of Directors’ Recommendation to Increase Capital Through Bonus Shares Issue",1,7.69
89,100,"توصية مجلس إدارة الشركة بخفض رأس مالها
Board of Directors’ Recommendation to Decrease Capital",1,7.69
90,100,"الدعوة إلى حضور اجتماعات الجمعيات العمومية والإعلانات المتعلقة بنتائج تلك الاجتماعات
Invitation to General Assemblies, and the Announcements
Related of their Results",1,7.69
91,100,"توزيع أرباح
Dividends",1,7.69
92,100,"إعلان إيضاحي
Explanatory Announcement",1,7.69
93,100,"أي تغير في تشكيل أعضاء مجلس إدارة الشركة وإداراتها العليا
Change in the Composition of Corporate Board of Directors and Top Management",1,7.69
94,100,"موافقة على منتج جديد
Approval on New Product",1,7.69
95,100,"التطورات أو الأحداث المهمة الأخرى
Other Developments",1,7.69
96,100,"الإجمالي
Total",1,7.69
97,101,-,9,69.23
98,101,2006,1,7.69
99,101,1347,1,7.69
100,101,377,1,7.69
101,101,1724,1,7.69
102,102,-,9,69.23
103,102,2007,1,7.69
104,102,1058,1,7.69
105,102,431,1,7.69
106,102,1489,1,7.69
107,103,-,7,53.85
108,103,2008,1,7.69
109,103,534,1,7.69
110,103,7,1,7.69
111,103,15,1,7.69
112,103,1231,1,7.69
113,103,1787,1,7.69
114,120,-,41,97.62
115,120,ANNUAL REPORT STATISTICAL APPENDIX CONTENT 2024,1,2.38
116,121,-,39,92.86
117,121,إحصاءات السوق المالية,1,2.38
118,121,إحصاءات مؤسسات السوق المالية,1,2.38
119,121,إحصاءات إشرافية ورقابية,1,2.38
120,122,-,4,9.52
121,122,عدد طلبات طرح وتنظيم الأوراق المالية التي وافقت عليها الهيئة وإشعارات الطرح الخاص التي تلقتها,1,2.38
122,122,الطرح العام وتسجيل الأسهم (مليار ريال) مصنفةً بحسب نوع الطرح,1,2.38
123,122,عدد المكتتبين الأفراد (بالمليون) مصنفين بحسب قنوات اكتتاب الطرح العام,1,2.38
124,122,مبالغ اكتتاب الأفراد (مليار ريال) مصنفة بحسب قنوات اكتتاب الطرح العام قبل رد الفائض,1,2.38
125,122,تكوين مجالس الإدارة في الشركات المدرجة مصنفةً بحسب صفة العضوية,1,2.38
126,122,مؤشرات الصكوك وأدوات الدين المدرجة في السوق المالية السعودية (تداول),1,2.38
127,122,عدد الصناديق العامة مصنفةً بحسب  نوع استثمار الصندوق,1,2.38
128,122,عدد المشتركين في الصناديق  العامة مصنفين بحسب نوع استثمار الصندوق,1,2.38
129,122,قيم أصول الصناديق  العامة (مليون ريال) مصنفةً بحسب نوع الاستثمار,1,2.38
130,122,مؤشرات الصناديق العامة المستثمرة في الأسهم مصنفة بحسب النطاق الجغرافي,1,2.38
131,122,عدد الصناديق  الخاصة مصنفة بحسب نوع استثمار الصندوق,1,2.38
132,122,عدد المشتركين في الصناديق  الخاصة مصنفين بحسب نوع استثمار الصندوق,1,2.38
133,122,قيم أصول الصناديق  الخاصة مصنفة حسب نوع الاستثمار,1,2.38
134,122,عدد المحافظ الخاصة المدارة وإجمالي أصولها مصنفة حسب الفئة الاستثمارية,1,2.38
135,122,إجمالي قيم الأصول المدارة,1,2.38
136,122,تطور الاستثمار الأجنبي في السوق المالية السعودية,1,2.38
137,122,الإعلانات المنشورة في الموقع الإلكتروني لشركة السوق المالية السعودية (تداول) مصنفةً بحسب نوع التطورات الجوهرية في الإعلانات,1,2.38
138,122,المنشآت ذات الأغراض الخاصة المرخصة,1,2.38
139,122,عدد قرارات التراخيص مصنفةً بحسب نوع القرار,1,2.38
140,122,عدد  مؤسسات السوق المالية مصنفين بحسب حصولهم على خطاب ممارسة العمل,1,2.38
141,122,عدد تراخيص أنشطة أعمال الأوراق المالية مصنفةً بحسب ممارسة/عدم ممارسة العمل,1,2.38
142,122,الموظفون العاملون لدى مؤسسات السوق المالية ونسبة التوطين,1,2.38
143,122,عدد مؤسسات السوق المالية مصنفين بحسب عدد أنشطة أعمال الأوراق المالية المرخص لهم في ممارستها,1,2.38
144,122,استثمارات مؤسسات السوق المالية  للأعوام  2017م-2024م (مليون ريال),1,2.38
145,122,المراجعات للبيانات المالية لمؤسسات السوق المالية مصنفةً بحسب نوع المراجعة,1,2.38
146,122,قائمة الدخل المجمّعة (غير مدققة) للأعوام 2017م-2024م  (مليون ريال) لمؤسسات السوق المالية,1,2.38
147,122,قائمة المركز المالي المجمّعة (غير مدققة) للأعوام  2017م-2024م – الأصول (مليون ريال) لمؤسسات السوق المالية,1,2.38
148,122,قائمة المركز المالي المجمّعة (غير مدققة) للأعوام   2017م-2024م – الالتزامات (مليون ريال) لمؤسسات السوق المالية,1,2.38
149,122,قائمة المركز المالي المجمّعة (غير مدققة) للأعوام  2017م-2024م – حقوق الملكية (مليون ريال) لمؤسسات السوق المالية,1,2.38
150,122,أبرز تطورات الرقابة على التداولات والتعاملات,1,2.38
151,122,عمليات البحث المكثف للتداولات والتعاملات المشتبه في مخالفتها الأنظمة واللوائح التي تختص الهيئة بتطبيقها مصنفة بحسب مصدر البحث,1,2.38
152,122,عدد الزيارات/المهام التفتيشية التي نفذتها الهيئة مصنفةً بحسب نوعها,1,2.38
153,122,نسب ملاحظات مهام التفتيش الدوري على مؤسسات السوق المالية مصنفةً بحسب موضوعاتها,1,2.38
154,122,عدد الأعمال التي قامت بها الهيئة المتعلقة بمكافحة غسل الأموال وتمويل الإرهاب,1,2.38
155,122,عدد الملاحظات الواردة في تقرير مراجع الحسابات للقوائم المالية السنوية للشركات المدرجة التي فحصت من قبل الهيئة,1,2.38
156,122,عدد الشركات التي نشرت الهيئة قوائمها المالية السنوية مصنفةً بحسب ورود / عدم ورود ملاحظات على قوائمها,1,2.38
157,122,عدد القضايا الواردة والمتعلقة بنظام السوق المالية ونظام الشركات ونظام مكافحة غسل الأموال واللوائح التنفيذية مصنفة بحسب نوع المخالفة,1,2.38
