canonical_name,name_ar,source,file_count
area,المساحة,MOJ,25
area_m2,المساحة M2,REGA,31
average,المتوسط,REGA,11
avg_price_per_m2,متوسط سعر المتر,REGA,68
city,المدينة,MOJ,360
city,المدينة,REGA,157
city,city_ar,REGA,3
city_district,المدينة / الحي,MOJ,24
created_date,Created Date,REGA,1
date_gregorian,التاريخ ميلادي,MOJ,298
date_gregorian,تاريخ الصفقة ميلادي,MOJ,24
date_hijri,التاريخ هجري,MOJ,98
date_hijri,تاريخ الصفقة هجري,MOJ,24
decision_date_gregorian,تاريخ القرار ميلادي,MOJ,22
decision_date_hijri,تاريخ القرارهجري,MOJ,4
deed_count,عدد الصكوك,REGA,31
deed_count,deed_counts,REGA,1
district,الحي,REGA,96
district,district_ar,REGA,1
district,الحي,MOJ,1
female_owner_count,عدد الملاك النساء,MOJ,9
female_ownership_rate,نسبة تملك النساء,MOJ,9
gender,Gender,REGA,1
main_document_type,نوع السند الرئيسي,MOJ,22
max_price_per_m2,الحد الأعلى لسعر المتر,REGA,31
min_price_per_m2,الحد الأدنى لسعر المتر,REGA,31
month,الشهر,MOJ,1
operation_count,عدد العمليات,MOJ,55
operation_type,نوع العملية,MOJ,55
price,السعر,MOJ,24
property_classification,تصنيف العقار,REGA,80
property_classification,تصنيف العقار,MOJ,26
property_classification,typecategoryar,REGA,1
property_count,عدد العقارات,MOJ,25
property_type,نوع العقار,REGA,107
property_type,نوع العقار,MOJ,3
quarter,الربع,REGA,157
quarter,ربع السنة,MOJ,15
quarter_id,quarterid,REGA,1
quarter_name_ar,quarternamear,REGA,1
quarter_number,quarternumber,REGA,1
reference_number,الرقم المرجعي,MOJ,166
region,المنطقة,MOJ,360
region,المنطقة,REGA,157
region,region_ar,PERMITS,3
region,region_ar,REGA,3
region,المنطقة,GASTAT,3
registered_count,RENs,REGA,1
sector_type,نوع القطاع,MOJ,298
service_type,نوع الخدمة,MOJ,298
total_price,RealEstatePrice_SUM,REGA,1
total_transactions,مجموع الصفقات,REGA,11
transaction_ref,الرقم المرجعي للصفقة,MOJ,24
transaction_value,قيمة الصفقات,REGA,15
weighted_avg_price_per_m2,Meter_Price_W_Avg_IQR,REGA,1
year,السنة,REGA,157
year,السنة,MOJ,15
year,السنة,GASTAT,9
year,yearnumber,REGA,1
