id,file_id,row_number,raw_line,parsed_json
1,1,1,"""العام","{""Unnamed: 0"": ""العام\nYear"", ""Unnamed: 1"": ""الصناديق العامة\nPublic Funds"", ""Table (15): Total Value of Asset Under Management (SR Million)"": ""-"", ""Unnamed: 3"": ""الصناديق الخاصة\nPrivate Funds"", ""Unnamed: 4"": ""المحافظ الخاصة المدارة\nDPMs"", ""Unnamed: 5"": ""الإجمالي\nTotal""}"
2,1,2,"Year"",""الصناديق العامة","{""Unnamed: 0"": ""2015"", ""Unnamed: 1"": ""102898.3"", ""Table (15): Total Value of Asset Under Management (SR Million)"": ""-"", ""Unnamed: 3"": ""77394.53"", ""Unnamed: 4"": ""148166"", ""Unnamed: 5"": ""328458.83""}"
3,1,3,"Public Funds"",-,""الصناديق الخاصة","{""Unnamed: 0"": ""2016"", ""Unnamed: 1"": ""87835.7"", ""Table (15): Total Value of Asset Under Management (SR Million)"": ""-"", ""Unnamed: 3"": ""128665.44"", ""Unnamed: 4"": ""148427"", ""Unnamed: 5"": ""364928.14""}"
4,1,4,"Private Funds"",""المحافظ الخاصة المدارة","{""Unnamed: 0"": ""2017"", ""Unnamed: 1"": ""110232.7831408448"", ""Table (15): Total Value of Asset Under Management (SR Million)"": ""-"", ""Unnamed: 3"": ""141651.6"", ""Unnamed: 4"": ""139018"", ""Unnamed: 5"": ""390902.3831408448""}"
5,1,5,"DPMs"",""الإجمالي","{""Unnamed: 0"": ""2018"", ""Unnamed: 1"": ""111861.7"", ""Table (15): Total Value of Asset Under Management (SR Million)"": ""-"", ""Unnamed: 3"": ""178279.5"", ""Unnamed: 4"": ""164162.9988503467"", ""Unnamed: 5"": ""454304.1988503467""}"
6,1,6,"Total""","{""Unnamed: 0"": ""2019"", ""Unnamed: 1"": ""159958.016"", ""Table (15): Total Value of Asset Under Management (SR Million)"": ""-"", ""Unnamed: 3"": ""189460"", ""Unnamed: 4"": ""150346.7400143972"", ""Unnamed: 5"": ""499764.7560143973""}"
7,1,7,"2015,102898.3,-,77394.53,148166,328458.83","{""Unnamed: 0"": ""2020"", ""Unnamed: 1"": ""209724.32"", ""Table (15): Total Value of Asset Under Management (SR Million)"": ""-"", ""Unnamed: 3"": ""232251.3"", ""Unnamed: 4"": ""169748.1405557747"", ""Unnamed: 5"": ""611723.7605557747""}"
8,1,8,"2016,87835.7,-,128665.44,148427,364928.14","{""Unnamed: 0"": ""2021"", ""Unnamed: 1"": ""227173.4036971654"", ""Table (15): Total Value of Asset Under Management (SR Million)"": ""-"", ""Unnamed: 3"": ""296491.9"", ""Unnamed: 4"": ""234775.073512165"", ""Unnamed: 5"": ""758440.3772093304""}"
9,1,9,"2017,110232.7831408448,-,141651.6,139018,390902.3831408448","{""Unnamed: 0"": ""2022"", ""Unnamed: 1"": ""126105.01"", ""Table (15): Total Value of Asset Under Management (SR Million)"": ""-"", ""Unnamed: 3"": ""352076.6142947133"", ""Unnamed: 4"": ""265219.2429867485"", ""Unnamed: 5"": ""743400.8672814618""}"
10,1,10,"2018,111861.7,-,178279.5,164162.9988503467,454304.1988503467","{""Unnamed: 0"": ""2023"", ""Unnamed: 1"": ""122577.5"", ""Table (15): Total Value of Asset Under Management (SR Million)"": ""-"", ""Unnamed: 3"": ""435648.3"", ""Unnamed: 4"": ""313034.1"", ""Unnamed: 5"": ""871259.9""}"
11,2,1,"""النطاق الجغرافي","{""Table(10): Indicators of Public Funds in Equities Classified Geographically"": ""النطاق الجغرافي\nGeographic\nLocation"", ""Unnamed: 1"": ""-"", ""Unnamed: 2"": ""أسهم محلية\nLocal Equities"", ""Unnamed: 3"": ""أسهم خليجية\nGCC Equities"", ""Unnamed: 4"": ""أسهم عربية\nArab Equities"", ""Unnamed: 5"": ""أسهم آسيوية\nAsian Equities"", ""Unnamed: 6"": ""أسهم أمريكية\nAmerican Equities"", ""Unnamed: 7"": ""أسهم أوروبية\nEuropean Equities"", ""Unnamed: 8"": ""أسهم دولية أخرى\nOther International\nEquities"", ""Unnamed: 9"": ""الإجمالي\nTotal""}"
12,2,2,Geographic,"{""Table(10): Indicators of Public Funds in Equities Classified Geographically"": ""عدد الصناديق\nNumber of Funds"", ""Unnamed: 1"": ""2011"", ""Unnamed: 2"": ""64"", ""Unnamed: 3"": ""23"", ""Unnamed: 4"": ""4"", ""Unnamed: 5"": ""13"", ""Unnamed: 6"": ""5"", ""Unnamed: 7"": ""7"", ""Unnamed: 8"": ""34"", ""Unnamed: 9"": ""150""}"
13,2,3,"Location"",-,""أسهم محلية","{""Table(10): Indicators of Public Funds in Equities Classified Geographically"": ""-"", ""Unnamed: 1"": ""2012"", ""Unnamed: 2"": ""60"", ""Unnamed: 3"": ""22"", ""Unnamed: 4"": ""4"", ""Unnamed: 5"": ""11"", ""Unnamed: 6"": ""5"", ""Unnamed: 7"": ""6"", ""Unnamed: 8"": ""30"", ""Unnamed: 9"": ""138""}"
14,2,4,"Local Equities"",""أسهم خليجية","{""Table(10): Indicators of Public Funds in Equities Classified Geographically"": ""-"", ""Unnamed: 1"": ""2013"", ""Unnamed: 2"": ""60"", ""Unnamed: 3"": ""23"", ""Unnamed: 4"": ""6"", ""Unnamed: 5"": ""11"", ""Unnamed: 6"": ""5"", ""Unnamed: 7"": ""6"", ""Unnamed: 8"": ""30"", ""Unnamed: 9"": ""141""}"
15,2,5,"GCC Equities"",""أسهم عربية","{""Table(10): Indicators of Public Funds in Equities Classified Geographically"": ""-"", ""Unnamed: 1"": ""2014"", ""Unnamed: 2"": ""71"", ""Unnamed: 3"": ""26"", ""Unnamed: 4"": ""6"", ""Unnamed: 5"": ""10"", ""Unnamed: 6"": ""4"", ""Unnamed: 7"": ""6"", ""Unnamed: 8"": ""27"", ""Unnamed: 9"": ""150""}"
16,2,6,"Arab Equities"",""أسهم آسيوية","{""Table(10): Indicators of Public Funds in Equities Classified Geographically"": ""-"", ""Unnamed: 1"": ""2015"", ""Unnamed: 2"": ""89"", ""Unnamed: 3"": ""28"", ""Unnamed: 4"": ""6"", ""Unnamed: 5"": ""10"", ""Unnamed: 6"": ""4"", ""Unnamed: 7"": ""6"", ""Unnamed: 8"": ""26"", ""Unnamed: 9"": ""169""}"
17,2,7,"Asian Equities"",""أسهم أمريكية","{""Table(10): Indicators of Public Funds in Equities Classified Geographically"": ""-"", ""Unnamed: 1"": ""2016"", ""Unnamed: 2"": ""96"", ""Unnamed: 3"": ""27"", ""Unnamed: 4"": ""6"", ""Unnamed: 5"": ""9"", ""Unnamed: 6"": ""4"", ""Unnamed: 7"": ""5"", ""Unnamed: 8"": ""21"", ""Unnamed: 9"": ""168""}"
18,2,8,"American Equities"",""أسهم أوروبية","{""Table(10): Indicators of Public Funds in Equities Classified Geographically"": ""-"", ""Unnamed: 1"": ""2017"", ""Unnamed: 2"": ""93"", ""Unnamed: 3"": ""28"", ""Unnamed: 4"": ""4"", ""Unnamed: 5"": ""8"", ""Unnamed: 6"": ""4"", ""Unnamed: 7"": ""5"", ""Unnamed: 8"": ""19"", ""Unnamed: 9"": ""161""}"
19,2,9,"European Equities"",""أسهم دولية أخرى","{""Table(10): Indicators of Public Funds in Equities Classified Geographically"": ""-"", ""Unnamed: 1"": ""2018"", ""Unnamed: 2"": ""85"", ""Unnamed: 3"": ""24"", ""Unnamed: 4"": ""3"", ""Unnamed: 5"": ""7"", ""Unnamed: 6"": ""3"", ""Unnamed: 7"": ""4"", ""Unnamed: 8"": ""15"", ""Unnamed: 9"": ""141""}"
