المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي
 المدينة المنوره,العلا,القطاع العام,خدمة إلكترونية جزئيا,2026/01/01,"34,244,018"
 الرياض,الدرعيه,القطاع العام,خدمة إلكترونية جزئيا,2026/01/01,"34,246,419"
 الرياض,الدرعيه,القطاع العام,خدمة إلكترونية جزئيا,2026/01/01,"34,245,804"
 الرياض,الدرعيه,القطاع العام,خدمة إلكترونية جزئيا,2026/01/01,"34,246,131"
 الرياض,الدرعيه,القطاع العام,خدمة إلكترونية جزئيا,2026/01/01,"34,246,756"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/05,"34,324,106"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/05,"34,325,184"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/05,"34,326,716"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/05,"34,323,803"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/05,"34,324,272"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/05,"34,325,016"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/05,"34,325,384"
 الجوف,سكاكا,القطاع العام,خدمة إلكترونية جزئيا,2026/01/05,"34,318,450"
 الجوف,سكاكا,القطاع العام,خدمة إلكترونية جزئيا,2026/01/08,"34,411,049"
 مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2026/01/08,"34,418,153"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/10,"34,451,637"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/10,"34,451,600"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/10,"34,451,717"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/10,"34,451,533"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/10,"34,451,587"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/10,"34,451,763"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/10,"34,451,804"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/10,"34,451,485"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/10,"34,451,737"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/10,"34,451,554"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/10,"34,451,596"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/10,"34,451,701"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/10,"34,451,623"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/10,"34,451,770"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/10,"34,452,807"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/10,"34,453,155"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/10,"34,453,028"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/10,"34,452,926"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/10,"34,453,270"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/10,"34,453,371"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/10,"34,452,979"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/10,"34,453,146"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/10,"34,453,346"
 الجوف,سكاكا,القطاع العام,خدمة إلكترونية جزئيا,2026/01/10,"34,445,882"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/11,"34,462,961"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/11,"34,460,551"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/11,"34,460,299"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/11,"34,462,299"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/11,"34,462,678"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/11,"34,462,015"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/11,"34,462,427"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/11,"34,461,954"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/11,"34,462,505"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/11,"34,462,603"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/11,"34,462,762"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/11,"34,462,150"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/11,"34,460,398"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/11,"34,462,382"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/11,"34,462,279"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/11,"34,460,643"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/11,"34,461,886"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/11,"34,462,079"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/11,"34,462,207"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/11,"34,462,723"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/11,"34,463,936"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/11,"34,463,308"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/11,"34,461,691"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/11,"34,462,624"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/11,"34,462,245"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/11,"34,464,071"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/11,"34,463,142"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/11,"34,461,875"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/11,"34,463,412"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/11,"34,463,516"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/11,"34,463,755"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/11,"34,463,747"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/11,"34,463,653"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/11,"34,463,580"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/11,"34,463,946"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/11,"34,463,457"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/11,"34,463,885"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/11,"34,464,040"
 جازان,جيزان,القطاع العام,خدمة إلكترونية جزئيا,2026/01/11,"34,461,642"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/12,"34,485,351"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/12,"34,486,478"
