المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,975,334"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"35,971,911"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"35,972,632"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"35,973,806"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"35,974,368"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"35,974,480"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"35,975,908"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"35,973,472"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"35,974,063"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"35,974,376"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"35,975,916"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"35,976,523"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"35,974,770"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"35,974,335"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"35,974,752"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"35,976,399"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"35,977,607"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"35,974,090"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"35,973,295"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"35,973,841"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"35,975,782"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"35,976,280"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"35,976,653"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"35,973,716"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"35,974,489"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"35,974,588"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"35,973,813"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"35,976,466"
