المنطقة,المدينة,نوع السند الرئيسي,تاريخ القرار ميلادي,الرقم المرجعي
 الرياض,الرياض,مزاد,2026/04/01,"18,205,720"
 الرياض,الرياض,مزاد,2026/04/01,"18,205,723"
 الرياض,الرياض,مزاد,2026/04/01,"18,205,722"
 الرياض,الرياض,مزاد,2026/04/01,"18,205,727"
 الرياض,الرياض,مزاد,2026/04/01,"18,205,721"
 الرياض,الرياض,مزاد,2026/04/01,"18,212,312"
 مكة المكرمه,جده,مزاد,2026/04/01,"18,213,115"
 مكة المكرمه,جده,مزاد,2026/04/01,"18,211,043"
 مكة المكرمه,الطائف,مزاد,2026/04/01,"18,210,859"
 القصيم,بريده,مزاد,2026/04/01,"18,205,405"
 القصيم,بريده,مزاد,2026/04/01,"18,207,585"
 القصيم,بريده,مزاد,2026/04/01,"18,205,406"
 الشرقية,الدمام,مزاد,2026/04/01,"18,211,950"
 الشرقية,الدمام,مزاد,2026/04/01,"18,211,949"
 الشرقية,الاحساء,مزاد,2026/04/01,"18,206,951"
 عسير,ابها,مزاد,2026/04/01,"18,206,575"
 عسير,ابها,مزاد,2026/04/01,"18,206,504"
 عسير,ابها,مزاد,2026/04/01,"18,207,688"
 حائل,حائل,مزاد,2026/04/01,"18,206,790"
 حائل,حائل,مزاد,2026/04/01,"18,206,762"
 حائل,حائل,مزاد,2026/04/01,"18,207,791"
 حائل,حائل,مزاد,2026/04/01,"18,206,979"
 جازان,جيزان,مزاد,2026/04/01,"18,211,644"
 الرياض,الرياض,مزاد,2026/04/02,"18,222,359"
 الرياض,الرياض,مزاد,2026/04/02,"18,217,387"
 الرياض,الرياض,مزاد,2026/04/02,"18,217,386"
 مكة المكرمه,مكة المكرمة,مزاد,2026/04/02,"18,220,883"
 مكة المكرمه,مكة المكرمة,مزاد,2026/04/02,"18,222,153"
 مكة المكرمه,الطائف,مزاد,2026/04/02,"18,222,549"
 القصيم,بريده,مزاد,2026/04/02,"18,223,814"
 الشرقية,الدمام,مزاد,2026/04/02,"18,222,443"
 عسير,ابها,مزاد,2026/04/02,"18,216,652"
 عسير,ابها,مزاد,2026/04/02,"18,216,662"
 حائل,حائل,مزاد,2026/04/02,"18,222,828"
 حائل,حائل,مزاد,2026/04/02,"18,222,845"
 الرياض,الرياض,مزاد,2026/04/05,"18,251,285"
 الرياض,الرياض,مزاد,2026/04/05,"18,251,286"
 الرياض,الرياض,مزاد,2026/04/05,"18,251,287"
 الرياض,الرياض,مزاد,2026/04/05,"18,251,284"
 مكة المكرمه,مكة المكرمة,مزاد,2026/04/05,"18,250,220"
 مكة المكرمه,جده,مزاد,2026/04/05,"18,250,045"
 مكة المكرمه,جده,مزاد,2026/04/05,"18,250,043"
 مكة المكرمه,جده,مزاد,2026/04/05,"18,239,943"
 المدينة المنوره,المدينة المنورة,مزاد,2026/04/05,"18,248,984"
 المدينة المنوره,المدينة المنورة,مزاد,2026/04/05,"18,248,983"
 المدينة المنوره,المدينة المنورة,مزاد,2026/04/05,"18,251,832"
 المدينة المنوره,المدينة المنورة,مزاد,2026/04/05,"18,248,988"
 المدينة المنوره,المدينة المنورة,مزاد,2026/04/05,"18,240,757"
 المدينة المنوره,المدينة المنورة,مزاد,2026/04/05,"18,248,985"
 المدينة المنوره,المدينة المنورة,مزاد,2026/04/05,"18,248,986"
 المدينة المنوره,المدينة المنورة,مزاد,2026/04/05,"18,240,758"
 المدينة المنوره,المدينة المنورة,مزاد,2026/04/05,"18,248,987"
 القصيم,بريده,مزاد,2026/04/05,"18,239,432"
 القصيم,بريده,مزاد,2026/04/05,"18,246,005"
 الشرقية,الدمام,مزاد,2026/04/05,"18,247,439"
 الشرقية,الدمام,مزاد,2026/04/05,"18,248,353"
 الشرقية,الدمام,مزاد,2026/04/05,"18,248,352"
 الشرقية,الدمام,مزاد,2026/04/05,"18,248,358"
 الشرقية,الدمام,مزاد,2026/04/05,"18,248,354"
 الشرقية,الدمام,مزاد,2026/04/05,"18,248,355"
 الشرقية,الدمام,مزاد,2026/04/05,"18,248,356"
 الشرقية,الدمام,مزاد,2026/04/05,"18,248,357"
 الشرقية,الدمام,مزاد,2026/04/05,"18,247,716"
 عسير,ابها,مزاد,2026/04/05,"18,240,340"
 عسير,ابها,مزاد,2026/04/05,"18,240,339"
 الباحة,الباحه,مزاد,2026/04/05,"18,249,093"
 الرياض,الرياض,مزاد,2026/04/06,"18,267,664"
 الرياض,الرياض,مزاد,2026/04/06,"18,268,111"
 الرياض,الرياض,مزاد,2026/04/06,"18,266,980"
 الرياض,الرياض,مزاد,2026/04/06,"18,268,112"
 مكة المكرمه,مكة المكرمة,مزاد,2026/04/06,"18,261,682"
 مكة المكرمه,مكة المكرمة,مزاد,2026/04/06,"18,270,318"
 مكة المكرمه,مكة المكرمة,مزاد,2026/04/06,"18,268,834"
 مكة المكرمه,الطائف,مزاد,2026/04/06,"18,255,647"
 مكة المكرمه,الطائف,مزاد,2026/04/06,"18,255,610"
 المدينة المنوره,المدينة المنورة,مزاد,2026/04/06,"18,256,791"
 المدينة المنوره,المدينة المنورة,مزاد,2026/04/06,"18,261,868"
 المدينة المنوره,المدينة المنورة,مزاد,2026/04/06,"18,257,645"
 القصيم,بريده,مزاد,2026/04/06,"18,265,711"
 القصيم,بريده,مزاد,2026/04/06,"18,258,373"
 القصيم,بريده,مزاد,2026/04/06,"18,255,258"
 الشرقية,الدمام,مزاد,2026/04/06,"18,268,197"
 جازان,جيزان,مزاد,2026/04/06,"18,268,053"
 نجران,نجران,مزاد,2026/04/06,"18,268,601"
 الجوف,سكاكا,مزاد,2026/04/06,"18,270,620"
 الجوف,سكاكا,مزاد,2026/04/06,"18,270,613"
 الجوف,سكاكا,مزاد,2026/04/06,"18,270,600"
 الرياض,الرياض,مزاد,2026/04/07,"18,285,886"
 الرياض,الرياض,مزاد,2026/04/07,"18,285,887"
 الرياض,الرياض,مزاد,2026/04/07,"18,285,888"
 الرياض,الرياض,مزاد,2026/04/07,"18,285,889"
 الرياض,الرياض,مزاد,2026/04/07,"18,285,890"
 الرياض,الرياض,مزاد,2026/04/07,"18,285,891"
 الرياض,الرياض,مزاد,2026/04/07,"18,285,892"
 الرياض,الرياض,مزاد,2026/04/07,"18,285,893"
 الرياض,الرياض,مزاد,2026/04/07,"18,285,894"
 الرياض,الرياض,مزاد,2026/04/07,"18,285,895"
 الرياض,الرياض,مزاد,2026/04/07,"18,285,896"
 الرياض,الرياض,مزاد,2026/04/07,"18,285,897"
 الرياض,الرياض,مزاد,2026/04/07,"18,285,898"
 الرياض,الرياض,مزاد,2026/04/07,"18,285,899"
 الرياض,الرياض,مزاد,2026/04/07,"18,285,900"
 الرياض,الرياض,مزاد,2026/04/07,"18,285,901"
 الرياض,الرياض,مزاد,2026/04/07,"18,285,875"
