المنطقة,المدينة,نوع السند الرئيسي,تاريخ القرار ميلادي,الرقم المرجعي
 الرياض,الرياض,مزاد,2025/10/01,"16,377,871"
 الرياض,الرياض,قسمة تركة,2025/10/01,"16,385,143"
 الرياض,الرياض,قسمة تركة,2025/10/01,"16,385,145"
 مكة المكرمه,مكة المكرمة,مزاد,2025/10/01,"16,377,869"
 مكة المكرمه,جده,قسمة تركة,2025/10/01,"16,385,146"
 المدينة المنوره,المدينة المنورة,قسمة تركة,2025/10/01,"16,385,147"
 المدينة المنوره,المدينة المنورة,مزاد,2025/10/01,"16,385,142"
 تبوك,تبوك,قسمة تركة,2025/10/01,"16,385,149"
 حائل,حائل,قسمة تركة,2025/10/01,"16,385,144"
 الرياض,الرياض,قسمة تركة,2025/10/02,"16,389,495"
 مكة المكرمه,جده,قسمة تركة,2025/10/02,"16,391,848"
 الرياض,الرياض,قسمة تركة,2025/10/05,"16,415,627"
 الرياض,الرياض,قسمة تركة,2025/10/05,"16,412,439"
 مكة المكرمه,جده,أوراق تجارية,2025/10/05,"16,414,900"
 الرياض,الرياض,أوراق تجارية,2025/10/06,"16,427,414"
 الرياض,الرياض,قسمة تركة,2025/10/06,"16,426,403"
 الرياض,الرياض,قسمة تركة,2025/10/06,"16,422,833"
 مكة المكرمه,مكة المكرمة,قسمة تركة,2025/10/06,"16,426,408"
 مكة المكرمه,مكة المكرمة,احكام و قرارات,2025/10/06,"16,427,407"
 مكة المكرمه,مكة المكرمة,قسمة تركة,2025/10/06,"16,427,311"
 مكة المكرمه,مكة المكرمة,قسمة تركة,2025/10/06,"16,427,312"
 مكة المكرمه,مكة المكرمة,قسمة تركة,2025/10/06,"16,426,401"
 مكة المكرمه,مكة المكرمة,قسمة تركة,2025/10/06,"16,427,400"
 مكة المكرمه,مكة المكرمة,قسمة تركة,2025/10/06,"16,427,403"
 مكة المكرمه,مكة المكرمة,قسمة تركة,2025/10/06,"16,427,406"
 مكة المكرمه,مكة المكرمة,قسمة تركة,2025/10/06,"16,426,405"
 مكة المكرمه,جده,قسمة تركة,2025/10/06,"16,427,313"
 مكة المكرمه,جده,قسمة تركة,2025/10/06,"16,426,407"
 مكة المكرمه,جده,قسمة تركة,2025/10/06,"16,427,314"
 القصيم,بريده,قسمة تركة,2025/10/06,"16,427,315"
 القصيم,بريده,قسمة تركة,2025/10/06,"16,427,410"
 القصيم,بريده,قسمة تركة,2025/10/06,"16,427,411"
 القصيم,بريده,قسمة تركة,2025/10/06,"16,427,316"
 القصيم,بريده,قسمة تركة,2025/10/06,"16,426,402"
 الشرقية,الدمام,قسمة تركة,2025/10/06,"16,423,299"
 تبوك,تبوك,قسمة تركة,2025/10/06,"16,425,489"
 الحدود الشمالية,عرعر,قسمة تركة,2025/10/06,"16,426,404"
 الرياض,الرياض,مزاد,2025/10/07,"16,436,764"
 الرياض,الرياض,قسمة تركة,2025/10/07,"16,435,515"
 الرياض,الرياض,أوراق تجارية,2025/10/07,"16,436,765"
 الرياض,الرياض,قسمة تركة,2025/10/07,"16,435,512"
 الرياض,الرياض,قسمة تركة,2025/10/07,"16,434,397"
 الرياض,الرياض,قسمة تركة,2025/10/07,"16,432,493"
 الرياض,الرياض,مزاد,2025/10/07,"16,435,522"
 الرياض,الرياض,مزاد,2025/10/07,"16,435,514"
 الرياض,الرياض,قسمة تركة,2025/10/07,"16,438,733"
 الرياض,الرياض,قسمة تركة,2025/10/07,"16,434,402"
 الرياض,الرياض,قسمة تركة,2025/10/07,"16,432,420"
