المنطقة,المدينة,نوع السند الرئيسي,تاريخ القرار ميلادي,الرقم المرجعي
 الرياض,الرياض,عقود,2026/04/01,"18,210,768"
 الرياض,الرياض,أوراق تجارية,2026/04/01,"18,213,465"
 الرياض,الرياض,أوراق تجارية,2026/04/01,"18,209,009"
 الرياض,الرياض,احكام و قرارات,2026/04/01,"18,212,047"
 مكة المكرمه,مكة المكرمة,احكام و قرارات,2026/04/01,"18,214,115"
 مكة المكرمه,جده,احكام و قرارات,2026/04/01,"18,213,788"
 مكة المكرمه,جده,احكام و قرارات,2026/04/01,"18,214,095"
 مكة المكرمه,جده,احكام و قرارات,2026/04/01,"18,210,278"
 المدينة المنوره,المدينة المنورة,احكام و قرارات,2026/04/01,"18,207,799"
 المدينة المنوره,المدينة المنورة,احكام و قرارات,2026/04/01,"18,207,800"
 القصيم,بريده,احكام و قرارات,2026/04/01,"18,210,472"
 الشرقية,الدمام,احكام و قرارات,2026/04/01,"18,213,437"
 الشرقية,الدمام,احكام و قرارات,2026/04/01,"18,213,438"
 الشرقية,الدمام,احكام و قرارات,2026/04/01,"18,213,439"
 الشرقية,الدمام,احكام و قرارات,2026/04/01,"18,213,435"
 الشرقية,الدمام,احكام و قرارات,2026/04/01,"18,213,679"
 الشرقية,الدمام,احكام و قرارات,2026/04/01,"18,206,849"
 الشرقية,الدمام,احكام و قرارات,2026/04/01,"18,206,848"
 الشرقية,الدمام,احكام و قرارات,2026/04/01,"18,206,846"
 الشرقية,الدمام,احكام و قرارات,2026/04/01,"18,206,845"
 الشرقية,الدمام,احكام و قرارات,2026/04/01,"18,206,844"
 الشرقية,الدمام,احكام و قرارات,2026/04/01,"18,206,843"
 الشرقية,الدمام,احكام و قرارات,2026/04/01,"18,206,842"
 الشرقية,الدمام,احكام و قرارات,2026/04/01,"18,206,841"
 الشرقية,الدمام,احكام و قرارات,2026/04/01,"18,206,852"
 الشرقية,الدمام,احكام و قرارات,2026/04/01,"18,206,851"
 الشرقية,الدمام,احكام و قرارات,2026/04/01,"18,206,660"
 الشرقية,الدمام,احكام و قرارات,2026/04/01,"18,206,850"
 الشرقية,الدمام,احكام و قرارات,2026/04/01,"18,213,436"
 الشرقية,الدمام,احكام و قرارات,2026/04/01,"18,206,661"
 الشرقية,الدمام,إخلاء,2026/04/01,"18,212,518"
 الشرقية,الدمام,احكام و قرارات,2026/04/01,"18,213,681"
 الشرقية,الدمام,إخلاء,2026/04/01,"18,213,767"
 عسير,ابها,عقود,2026/04/01,"18,212,371"
 تبوك,تبوك,أوراق تجارية,2026/04/01,"18,212,792"
 تبوك,تبوك,أوراق تجارية,2026/04/01,"18,212,657"
 تبوك,تبوك,أوراق تجارية,2026/04/01,"18,212,719"
 جازان,جيزان,أوراق تجارية,2026/04/01,"18,208,725"
 الرياض,الرياض,عقود,2026/04/02,"18,223,431"
 الرياض,الرياض,أوراق تجارية,2026/04/02,"18,222,052"
 الرياض,الرياض,أوراق تجارية,2026/04/02,"18,216,528"
 الرياض,الرياض,أوراق تجارية,2026/04/02,"18,222,053"
 الرياض,الرياض,أوراق تجارية,2026/04/02,"18,220,405"
 مكة المكرمه,جده,أوراق تجارية,2026/04/02,"18,216,762"
 الشرقية,الدمام,إخلاء,2026/04/02,"18,221,720"
 الشرقية,الدمام,إخلاء,2026/04/02,"18,222,681"
 الشرقية,حفر الباطن,احكام و قرارات,2026/04/02,"18,222,584"
 الشرقية,حفر الباطن,احكام و قرارات,2026/04/02,"18,222,585"
 عسير,ابها,احكام و قرارات,2026/04/02,"18,222,333"
 حائل,حائل,أوراق تجارية,2026/04/02,"18,222,992"
 حائل,حائل,احكام و قرارات,2026/04/02,"18,220,546"
 حائل,حائل,أوراق تجارية,2026/04/02,"18,222,913"
 حائل,حائل,احكام و قرارات,2026/04/02,"18,220,601"
 حائل,حائل,احكام و قرارات,2026/04/02,"18,220,547"
 جازان,جيزان,أوراق تجارية إلكترونية,2026/04/02,"18,220,552"
 الرياض,الرياض,أوراق تجارية,2026/04/03,"18,230,404"
 الرياض,الرياض,عقود,2026/04/03,"18,230,398"
 الرياض,الرياض,احكام و قرارات,2026/04/04,"18,232,849"
 الرياض,الرياض,إخلاء,2026/04/05,"18,248,454"
 الرياض,الرياض,إخلاء,2026/04/05,"18,240,281"
 الرياض,الرياض,إخلاء,2026/04/05,"18,240,283"
 الرياض,الرياض,أوراق تجارية,2026/04/05,"18,250,118"
 الرياض,الرياض,أوراق تجارية,2026/04/05,"18,251,566"
 الرياض,الرياض,أوراق تجارية,2026/04/05,"18,251,560"
 الرياض,الرياض,عقود,2026/04/05,"18,240,590"
 الرياض,الرياض,إخلاء,2026/04/05,"18,240,282"
 الرياض,الرياض,احكام و قرارات,2026/04/05,"18,247,617"
 الرياض,الرياض,احكام و قرارات,2026/04/05,"18,247,616"
 الرياض,الرياض,احكام و قرارات,2026/04/05,"18,247,615"
 الرياض,الرياض,احكام و قرارات,2026/04/05,"18,247,614"
 الرياض,الرياض,عام,2026/04/05,"18,240,046"
 الرياض,الرياض,احكام و قرارات,2026/04/05,"18,248,812"
 الرياض,الرياض,أوراق تجارية,2026/04/05,"18,249,055"
 مكة المكرمه,مكة المكرمة,احكام و قرارات,2026/04/05,"18,249,258"
 مكة المكرمه,مكة المكرمة,احكام و قرارات,2026/04/05,"18,249,259"
 مكة المكرمه,مكة المكرمة,احكام و قرارات,2026/04/05,"18,249,257"
 مكة المكرمه,جده,احكام و قرارات,2026/04/05,"18,249,301"
 مكة المكرمه,جده,احكام و قرارات,2026/04/05,"18,249,302"
 مكة المكرمه,جده,احكام و قرارات,2026/04/05,"18,249,303"
 مكة المكرمه,جده,احكام و قرارات,2026/04/05,"18,249,304"
 مكة المكرمه,جده,احكام و قرارات,2026/04/05,"18,249,300"
 مكة المكرمه,جده,احكام و قرارات,2026/04/05,"18,246,769"
 مكة المكرمه,جده,احكام و قرارات,2026/04/05,"18,250,233"
 مكة المكرمه,جده,احكام و قرارات,2026/04/05,"18,250,234"
 مكة المكرمه,جده,احكام و قرارات,2026/04/05,"18,250,235"
 مكة المكرمه,جده,احكام و قرارات,2026/04/05,"18,250,236"
