المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/01/01,"34,257,627"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/01/01,"34,264,875"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/01/01,"34,248,833"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/01/01,"34,249,451"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/01/01,"34,254,555"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/01/01,"34,247,579"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/01/01,"34,252,072"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/01/01,"34,245,723"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/01/02,"34,279,358"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/01/02,"34,279,267"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/01/02,"34,278,990"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/01/02,"34,271,180"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/01/03,"34,283,589"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/01/03,"34,283,866"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/01/03,"34,282,628"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/01/04,"34,294,053"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/01/04,"34,294,057"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/01/04,"34,294,007"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/01/04,"34,294,253"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/01/04,"34,294,243"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/01/04,"34,294,111"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/01/04,"34,294,174"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/01/04,"34,297,310"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/01/04,"34,294,168"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/01/04,"34,294,258"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/01/04,"34,294,120"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/01/04,"34,294,047"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/01/04,"34,294,016"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/01/05,"34,324,129"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/01/05,"34,326,092"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/01/06,"34,348,292"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/01/07,"34,392,650"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/01/07,"34,405,166"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/01/08,"34,419,299"
