المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي
الخدمات الرقمية,كتابة عدل مدمجة - افتراضية,القطاع العام,خدمة إلكترونية جزئيا,2026/04/09,"36,159,680"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/04/09,"36,143,782"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/04/27,"36,516,612"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/04/29,"36,581,019"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/05/18,"36,977,866"
 مكة المكرمه,مكة المكرمة,القطاع العام,خدمة إلكترونية جزئيا,2026/05/18,"36,965,709"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/05/19,"36,978,053"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/05/19,"36,978,041"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/05/19,"36,991,040"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/05/19,"36,990,521"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/05/21,"37,036,775"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/05/22,"37,074,107"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/06/25,"37,789,133"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/06/28,"37,831,161"
