المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي
 الشرقية,الدمام,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,252,069"
 الشرقية,الدمام,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,252,716"
 عسير,ابها,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,243,454"
 الشرقية,الخبر,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,244,017"
 الشرقية,الخبر,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,246,197"
 الشرقية,الخبر,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,246,725"
 القصيم,الرس,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,257,108"
 الشرقية,الخبر,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,262,836"
 الشرقية,حفر الباطن,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,259,190"
 الشرقية,الخبر,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,244,283"
 مكة المكرمه,الطائف,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,260,537"
 نجران,نجران,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,261,389"
 الحدود الشمالية,عرعر,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,260,836"
 الحدود الشمالية,عرعر,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,260,528"
 الحدود الشمالية,عرعر,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,258,267"
 الحدود الشمالية,عرعر,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,258,587"
 نجران,نجران,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,255,246"
 حائل,حائل,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,253,013"
 حائل,حائل,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,257,049"
 حائل,حائل,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,249,041"
 حائل,حائل,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,252,864"
 الشرقية,الدمام,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,249,790"
 الشرقية,الدمام,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,248,397"
 القصيم,بريده,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,265,091"
 القصيم,بريده,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,265,253"
 القصيم,بريده,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,265,828"
 القصيم,بريده,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,265,575"
 القصيم,بريده,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,265,056"
 القصيم,بريده,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,265,386"
 القصيم,بريده,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,265,163"
 مكة المكرمه,جده,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,256,070"
 مكة المكرمه,جده,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,257,115"
 مكة المكرمه,جده,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,255,636"
 مكة المكرمه,جده,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,256,708"
 مكة المكرمه,جده,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,260,926"
 مكة المكرمه,جده,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,254,556"
 مكة المكرمه,جده,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,253,890"
 مكة المكرمه,جده,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,254,602"
 مكة المكرمه,جده,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,256,072"
 مكة المكرمه,مكة المكرمة,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,261,868"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,262,904"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,262,380"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,263,427"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,255,848"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,248,867"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,249,184"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,263,610"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,248,815"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,250,519"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,254,474"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,257,530"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,255,399"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,251,237"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,252,075"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,253,333"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,252,074"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,251,336"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,246,540"
 عسير,ابها,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,243,578"
 حائل,حائل,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,257,420"
 حائل,حائل,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,249,944"
 مكة المكرمه,جده,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,259,281"
 الشرقية,الخبر,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,263,057"
 مكة المكرمه,مكة المكرمة,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,262,080"
