المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي
 الشرقية,الدمام,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,244,010"
 الشرقية,الخبر,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,262,420"
 الشرقية,الدمام,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,244,326"
 الشرقية,الدمام,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,244,932"
 المدينة المنوره,المدينة المنورة,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,243,251"
 حائل,حائل,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,256,777"
 حائل,حائل,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,255,561"
 حائل,حائل,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,255,247"
 حائل,حائل,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,255,792"
 حائل,حائل,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,256,451"
 مكة المكرمه,مكة المكرمة,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,242,509"
 مكة المكرمه,مكة المكرمة,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,242,666"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,246,374"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,253,427"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,244,910"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,251,087"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,250,774"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,245,943"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,246,349"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,244,918"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,253,433"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,245,630"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,244,822"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,243,474"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,244,112"
 مكة المكرمه,جده,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,256,912"
 المدينة المنوره,المدينة المنورة,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,243,314"
 الشرقية,الدمام,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,244,472"
 الشرقية,الخبر,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,262,461"
 حائل,حائل,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,256,841"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,246,048"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,251,387"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,245,889"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"34,246,492"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,243,016"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,242,631"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,243,305"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,245,507"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,246,199"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,243,114"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,243,996"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,245,746"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,248,326"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,247,474"
