المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"35,986,599"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"35,987,363"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"35,988,009"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"35,974,200"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"35,968,981"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"35,974,221"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"35,968,979"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"35,968,927"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"35,969,043"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"35,988,024"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"35,969,032"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"35,968,977"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"35,969,143"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"35,968,911"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"35,986,625"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"35,987,370"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/02,"36,007,475"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/02,"36,007,658"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/02,"35,992,669"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/02,"36,005,161"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/02,"36,004,358"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/02,"36,007,763"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/02,"35,999,930"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/02,"36,007,670"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/02,"36,004,381"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/02,"36,005,180"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/02,"35,992,683"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/02,"36,007,491"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/02,"36,008,719"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/02,"36,007,766"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/03,"36,019,213"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/03,"36,018,883"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/03,"36,017,463"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/03,"36,017,543"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/03,"36,017,551"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/03,"36,019,222"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/03,"36,018,902"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/03,"36,017,468"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/04,"36,026,532"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/04,"36,025,309"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/04,"36,025,529"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/04,"36,027,201"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/04,"36,026,519"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/04,"36,026,571"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/04,"36,027,187"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/04,"36,026,268"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/04,"36,025,535"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/04,"36,026,541"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/04,"36,027,736"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/04,"36,025,313"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/04,"36,028,151"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/04,"36,026,577"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"36,044,529"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"36,044,575"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"36,051,294"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"36,060,034"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"36,044,721"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"36,040,261"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"36,060,020"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"36,040,273"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"36,044,725"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"36,044,852"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"36,042,955"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"36,044,509"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"36,046,772"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"36,043,835"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"36,044,598"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"36,044,369"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"36,046,283"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"36,044,655"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"36,047,313"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"36,042,931"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"36,060,039"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"36,051,310"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"36,060,027"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"36,071,053"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"36,073,810"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"36,073,377"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"36,074,048"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"36,075,952"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"36,072,120"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"36,077,049"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"36,076,317"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"36,077,332"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"36,077,364"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"36,070,986"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"36,073,451"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"36,073,201"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"36,077,457"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"36,077,536"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"36,072,020"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"36,075,587"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"36,072,605"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"36,072,470"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"36,073,040"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"36,072,968"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"36,072,387"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"36,071,882"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"36,073,233"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"36,073,731"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"36,076,028"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"36,073,533"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"36,071,086"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"36,076,383"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"36,071,637"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"36,076,533"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"36,071,672"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"36,073,851"
