المنطقة,المدينة,السنة,ربع السنة,عدد الملاك الرجال,نسبة تملك الرجال
منطقة الباحة,الباحه,2026,الربع الثاني,49,81.67%
منطقة الباحة,العقيق,2026,الربع الثاني,21,75.00%
منطقة الباحة,القرى,2026,الربع الثاني,2,66.67%
منطقة الباحة,المخواة,2026,الربع الثاني,20,86.96%
منطقة الباحة,المندق,2026,الربع الثاني,2,100.00%
منطقة الباحة,بلجرشي,2026,الربع الثاني,32,86.49%
منطقة الباحة,قلوه,2026,الربع الثاني,10,83.33%
منطقة الجوف,القريات,2026,الربع الثاني,87,70.16%
منطقة الجوف,دومة الجندل,2026,الربع الثاني,48,77.42%
منطقة الجوف,سكاكا,2026,الربع الثاني,117,81.82%
منطقة الجوف,طبرجل,2026,الربع الثاني,51,78.46%
منطقة الحدود الشمالية,العويقيله,2026,الربع الثاني,22,75.86%
منطقة الحدود الشمالية,رفحاء,2026,الربع الثاني,57,68.67%
منطقة الحدود الشمالية,طريف,2026,الربع الثاني,20,76.92%
منطقة الحدود الشمالية,عرعر,2026,الربع الثاني,228,83.21%
منطقة الحدود الشمالية,لينه,2026,الربع الثاني,2,100.00%
منطقة الرياض,الارطاوي,2026,الربع الثاني,19,82.61%
منطقة الرياض,الارطاويه,2026,الربع الثاني,16,80.00%
منطقة الرياض,الافلاج,2026,الربع الثاني,39,81.25%
منطقة الرياض,الحريق,2026,الربع الثاني,22,91.67%
منطقة الرياض,الخرج,2026,الربع الثاني,367,76.46%
منطقة الرياض,الدرعيه,2026,الربع الثاني,40,81.63%
منطقة الرياض,الدلم,2026,الربع الثاني,52,85.25%
منطقة الرياض,الدوادمي,2026,الربع الثاني,141,81.98%
منطقة الرياض,الرياض,2026,الربع الثاني,"1,057",72.65%
منطقة الرياض,الرين,2026,الربع الثاني,10,90.91%
منطقة الرياض,الزلفي,2026,الربع الثاني,145,79.23%
منطقة الرياض,السليل,2026,الربع الثاني,27,81.82%
منطقة الرياض,الغاط,2026,الربع الثاني,22,73.33%
منطقة الرياض,القصب,2026,الربع الثاني,6,66.67%
منطقة الرياض,القويعيه,2026,الربع الثاني,41,77.36%
منطقة الرياض,المجمعه,2026,الربع الثاني,69,66.35%
منطقة الرياض,المزاحميه,2026,الربع الثاني,106,83.46%
منطقة الرياض,ثادق,2026,الربع الثاني,36,83.72%
منطقة الرياض,جلاجل,2026,الربع الثاني,10,90.91%
منطقة الرياض,حريملاء,2026,الربع الثاني,45,90.00%
منطقة الرياض,حوطة بني تميم,2026,الربع الثاني,39,73.58%
منطقة الرياض,رماح,2026,الربع الثاني,48,80.00%
منطقة الرياض,شقراء,2026,الربع الثاني,107,71.81%
منطقة الرياض,ضرماء,2026,الربع الثاني,65,89.04%
منطقة الرياض,عفيف,2026,الربع الثاني,161,86.10%
منطقة الرياض,مرات,2026,الربع الثاني,22,73.33%
منطقة الرياض,وادي الدواسر,2026,الربع الثاني,37,86.05%
منطقة الشرقية,ابقيق,2026,الربع الثاني,82,89.13%
منطقة الشرقية,الاحساء,2026,الربع الثاني,80,76.19%
منطقة الشرقية,الجبيل,2026,الربع الثاني,330,88.95%
منطقة الشرقية,الجفر,2026,الربع الثاني,158,76.70%
منطقة الشرقية,الخبر,2026,الربع الثاني,485,71.85%
منطقة الشرقية,الخفجي,2026,الربع الثاني,154,81.91%
منطقة الشرقية,الدمام,2026,الربع الثاني,525,73.94%
منطقة الشرقية,الظهران,2026,الربع الثاني,42,89.36%
منطقة الشرقية,العيون,2026,الربع الثاني,30,81.08%
منطقة الشرقية,القطيف,2026,الربع الثاني,145,80.56%
منطقة الشرقية,النعيريه,2026,الربع الثاني,70,86.42%
منطقة الشرقية,الهفوف,2026,الربع الثاني,403,73.41%
منطقة الشرقية,حفر الباطن,2026,الربع الثاني,593,80.57%
منطقة الشرقية,رأس تنوره,2026,الربع الثاني,7,77.78%
منطقة الشرقية,قرية العليا,2026,الربع الثاني,41,73.21%
منطقة القصيم,الاسياح,2026,الربع الثاني,33,86.84%
منطقة القصيم,البدائع,2026,الربع الثاني,259,89.00%
منطقة القصيم,البكيريه,2026,الربع الثاني,80,70.80%
منطقة القصيم,الخبراء,2026,الربع الثاني,20,83.33%
منطقة القصيم,الرس,2026,الربع الثاني,89,76.07%
منطقة القصيم,الشماسيه,2026,الربع الثاني,31,86.11%
منطقة القصيم,المذنب,2026,الربع الثاني,353,86.31%
منطقة القصيم,النبهانيه,2026,الربع الثاني,19,86.36%
منطقة القصيم,بريده,2026,الربع الثاني,597,78.55%
منطقة القصيم,رياض الخبراء,2026,الربع الثاني,123,83.67%
منطقة القصيم,ضريه,2026,الربع الثاني,45,93.75%
منطقة القصيم,عقلة الصقور,2026,الربع الثاني,40,81.63%
