المنطقة,المدينة,السنة,ربع السنة,عدد الملاك النساء,نسبة تملك النساء
منطقة الباحة,الباحه,2026,الربع الأول,6,15.00%
منطقة الباحة,الحجره,2026,الربع الأول,1,33.33%
منطقة الباحة,العقيق,2026,الربع الأول,3,7.69%
منطقة الباحة,المخواة,2026,الربع الأول,6,13.04%
منطقة الباحة,بلجرشي,2026,الربع الأول,6,18.18%
منطقة الباحة,قلوه,2026,الربع الأول,2,28.57%
منطقة الجوف,القريات,2026,الربع الأول,39,23.93%
منطقة الجوف,دومة الجندل,2026,الربع الأول,20,16.53%
منطقة الجوف,سكاكا,2026,الربع الأول,61,26.87%
منطقة الجوف,طبرجل,2026,الربع الأول,12,11.43%
منطقة الحدود الشمالية,العويقيله,2026,الربع الأول,6,21.43%
منطقة الحدود الشمالية,رفحاء,2026,الربع الأول,18,23.38%
منطقة الحدود الشمالية,طريف,2026,الربع الأول,6,22.22%
منطقة الحدود الشمالية,عرعر,2026,الربع الأول,86,24.64%
منطقة الرياض,الارطاوي,2026,الربع الأول,5,18.52%
منطقة الرياض,الارطاويه,2026,الربع الأول,6,23.08%
منطقة الرياض,الافلاج,2026,الربع الأول,12,18.46%
منطقة الرياض,الحريق,2026,الربع الأول,3,12.50%
منطقة الرياض,الخرج,2026,الربع الأول,108,15.54%
منطقة الرياض,الدرعيه,2026,الربع الأول,20,34.48%
منطقة الرياض,الدلم,2026,الربع الأول,10,16.39%
منطقة الرياض,الدوادمي,2026,الربع الأول,30,20.83%
منطقة الرياض,الرياض,2026,الربع الأول,634,25.09%
منطقة الرياض,الرين,2026,الربع الأول,2,22.22%
منطقة الرياض,الزلفي,2026,الربع الأول,36,17.82%
منطقة الرياض,السليل,2026,الربع الأول,7,21.88%
منطقة الرياض,الغاط,2026,الربع الأول,10,32.26%
منطقة الرياض,القصب,2026,الربع الأول,2,18.18%
منطقة الرياض,القويعيه,2026,الربع الأول,5,9.43%
منطقة الرياض,المجمعه,2026,الربع الأول,30,17.05%
منطقة الرياض,المزاحميه,2026,الربع الأول,33,20.00%
منطقة الرياض,ثادق,2026,الربع الأول,11,20.75%
منطقة الرياض,جلاجل,2026,الربع الأول,1,12.50%
منطقة الرياض,حريملاء,2026,الربع الأول,8,18.60%
منطقة الرياض,حوطة بني تميم,2026,الربع الأول,20,29.41%
منطقة الرياض,رماح,2026,الربع الأول,17,22.08%
منطقة الرياض,شقراء,2026,الربع الأول,30,24.79%
منطقة الرياض,ضرماء,2026,الربع الأول,19,18.10%
منطقة الرياض,عفيف,2026,الربع الأول,28,17.72%
منطقة الرياض,مرات,2026,الربع الأول,12,25.00%
منطقة الرياض,وادي الدواسر,2026,الربع الأول,22,36.07%
منطقة الشرقية,ابقيق,2026,الربع الأول,33,25.78%
منطقة الشرقية,الاحساء,2026,الربع الأول,29,27.10%
منطقة الشرقية,الجبيل,2026,الربع الأول,44,15.71%
