المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي للوكالة
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"43,176,676"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"43,176,822"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"43,177,007"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"43,177,413"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"43,177,601"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"43,177,608"
الخدمات الرقمية,كتابة عدل مدمجة - افتراضية,القطاع العام,خدمة إلكترونية جزئيا,2026/01/01,"43,178,669"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"43,179,706"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"43,177,777"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"43,177,802"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"43,177,876"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"43,178,026"
الخدمات الرقمية,كتابة عدل مدمجة - افتراضية,القطاع العام,خدمة إلكترونية جزئيا,2026/01/01,"43,184,451"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"43,178,569"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"43,179,016"
منطقة المدينة المنوره,المدينة المنورة,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"43,179,211"
الخدمات الرقمية,كتابة عدل مدمجة - افتراضية,القطاع العام,خدمة إلكترونية جزئيا,2026/01/01,"43,179,510"
الخدمات الرقمية,كتابة عدل مدمجة - افتراضية,القطاع العام,خدمة إلكترونية جزئيا,2026/01/01,"43,179,628"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/01/01,"43,179,827"
الخدمات الرقمية,كتابة عدل مدمجة - افتراضية,القطاع العام,خدمة إلكترونية جزئيا,2026/01/01,"43,179,903"
منطقة الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"43,180,119"
منطقة مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2026/01/01,"43,180,215"
منطقة الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"43,180,460"
منطقة الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/01,"43,180,693"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"43,180,864"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"43,180,903"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"43,180,936"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"43,181,162"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"43,181,180"
الخدمات الرقمية,كتابة عدل مدمجة - افتراضية,القطاع العام,خدمة إلكترونية جزئيا,2026/01/01,"43,177,511"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"43,181,295"
منطقة مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2026/01/01,"43,181,190"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"43,181,461"
الخدمات الرقمية,كتابة عدل مدمجة - افتراضية,القطاع العام,خدمة إلكترونية جزئيا,2026/01/01,"43,178,314"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"43,181,566"
