المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي للوكالة
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"43,183,683"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/02,"43,195,100"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/03,"43,202,591"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/03,"43,204,939"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/03,"43,207,452"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/04,"43,216,339"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/04,"43,224,904"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/04,"43,213,136"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/04,"43,213,137"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/05,"43,232,325"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/06,"43,267,940"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/06,"43,255,223"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/06,"43,268,042"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/07,"43,288,499"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/07,"43,284,163"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/07,"43,282,460"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/07,"43,284,322"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/07,"43,284,314"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/08,"43,302,249"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/10,"43,322,206"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/11,"43,337,370"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/11,"43,331,929"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/12,"43,357,049"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/12,"43,357,042"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/12,"43,357,935"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/12,"43,354,073"
منطقة الشرقية,الدمام,القطاع العام,خدمة إلكترونية جزئيا,2026/01/14,"43,389,786"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/14,"43,395,349"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/14,"43,388,140"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/16,"43,420,214"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/17,"43,431,431"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/17,"43,427,251"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/18,"43,454,433"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/19,"43,476,424"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/19,"43,476,429"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/19,"43,466,991"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/20,"43,489,973"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/01/21,"43,507,195"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/23,"43,541,104"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/25,"43,559,918"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/26,"43,579,512"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/27,"43,596,705"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/27,"43,602,152"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/01/28,"43,629,029"
منطقة الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2026/01/29,"43,649,541"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/29,"43,651,265"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/29,"43,646,347"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/29,"43,643,557"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/30,"43,653,662"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/02/02,"43,703,825"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/02/02,"43,697,413"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/02/02,"43,710,403"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/02/04,"43,741,164"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/02/04,"43,738,701"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/02/05,"43,766,730"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/02/05,"43,769,611"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/02/05,"43,767,720"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/02/05,"43,766,230"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/02/07,"43,778,029"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/02/07,"43,778,586"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/02/08,"43,800,628"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/02/11,"43,858,880"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/02/12,"43,886,765"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/02/15,"43,906,868"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/02/15,"43,920,264"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/02/16,"43,945,053"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/02/16,"43,943,719"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/02/16,"43,935,899"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/02/17,"43,961,121"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/02/17,"43,958,743"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/02/19,"43,986,189"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/02/21,"44,002,632"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/02/23,"44,025,241"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/02/23,"44,018,193"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/02/23,"44,018,591"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/02/24,"44,044,145"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/02/25,"44,056,192"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/02/25,"44,054,122"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/02/26,"44,067,935"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/02/26,"44,068,269"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/02/26,"44,068,421"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/02/26,"44,074,762"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/02/26,"44,068,814"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/02/26,"44,068,304"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/02/26,"44,068,163"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/02/26,"44,068,918"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/02/26,"44,068,766"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/02/26,"44,068,540"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/02/26,"44,078,403"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/02/26,"44,068,157"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/03/02,"44,117,448"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/03/02,"44,117,497"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/03/02,"44,123,803"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/03/04,"44,156,605"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/03/08,"44,205,133"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/03/08,"44,198,602"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/03/10,"44,235,883"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/03/10,"44,231,120"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/03/10,"44,235,164"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/03/11,"44,246,408"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/03/11,"44,246,409"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/03/17,"44,294,634"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/03/17,"44,294,633"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/03/18,"44,299,792"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/03/19,"44,301,443"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/03/24,"44,310,521"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/03/26,"44,326,784"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/03/29,"44,353,988"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/03/29,"44,353,990"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/03/29,"44,353,991"
