المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,238,541"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,240,957"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,243,787"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,245,704"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,242,918"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,238,544"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,243,577"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,239,942"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,238,836"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,242,916"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,248,810"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,240,099"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,242,919"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,244,376"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,246,137"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,247,808"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,248,160"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,254,842"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,247,544"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,251,130"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,252,571"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,248,527"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,248,758"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,248,819"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,249,124"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,238,516"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,243,499"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,248,601"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,239,610"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,241,375"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,246,246"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,252,053"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,254,066"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,254,868"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,255,096"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,248,877"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,248,921"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,253,881"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,257,936"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,258,202"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,259,213"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,242,915"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,242,917"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,243,364"
