المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,971,409"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,976,421"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,973,040"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,978,494"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,978,915"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,979,367"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,973,200"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,980,515"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,979,662"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,978,272"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,979,348"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,977,696"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,976,478"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,979,434"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,971,957"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,986,008"
 تبوك,تبوك,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,970,817"
 تبوك,تبوك,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,971,490"
 تبوك,تبوك,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,970,705"
 تبوك,تبوك,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,970,719"
 تبوك,تبوك,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,978,422"
 تبوك,تبوك,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,978,319"
 تبوك,تبوك,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,970,676"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,971,506"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,971,639"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,971,562"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,971,737"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,977,441"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,970,905"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,971,436"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,978,424"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,977,323"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,977,580"
