المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,968,128"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,967,947"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,968,266"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,968,364"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,968,454"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,968,641"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,967,527"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,967,842"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,967,488"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,967,419"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,967,818"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,967,153"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,967,562"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,967,655"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,967,645"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,967,816"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,967,840"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,968,224"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,967,592"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,968,153"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,968,169"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,967,848"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,967,865"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,967,890"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,967,953"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,968,035"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,968,120"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,967,575"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,970,351"
