المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي
 الشرقية,حفر الباطن,القطاع العام,خدمة إلكترونية جزئيا,2026/01/01,"34,243,994"
الخدمات الرقمية,كتابة عدل مدمجة - افتراضية,القطاع العام,خدمة إلكترونية جزئيا,2026/01/01,"34,255,043"
 مكة المكرمه,الطائف,القطاع العام,خدمة إلكترونية جزئيا,2026/01/01,"34,242,545"
 الشرقية,الاحساء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/01,"34,252,056"
 القصيم,بريده,القطاع العام,خدمة إلكترونية جزئيا,2026/01/01,"34,245,768"
 مكة المكرمه,الطائف,القطاع العام,خدمة إلكترونية جزئيا,2026/01/01,"34,244,003"
 القصيم,بريده,القطاع العام,خدمة إلكترونية جزئيا,2026/01/01,"34,251,453"
 القصيم,بريده,القطاع العام,خدمة إلكترونية جزئيا,2026/01/01,"34,247,581"
 الرياض,الخرج,القطاع العام,خدمة إلكترونية جزئيا,2026/01/01,"34,246,612"
 الشرقية,الاحساء,القطاع العام,خدمة إلكترونية جزئيا,2026/01/01,"34,250,067"
 القصيم,بريده,القطاع العام,خدمة إلكترونية جزئيا,2026/01/01,"34,248,984"
 الشرقية,حفر الباطن,القطاع العام,خدمة إلكترونية جزئيا,2026/01/01,"34,252,447"
 الشرقية,حفر الباطن,القطاع العام,خدمة إلكترونية جزئيا,2026/01/01,"34,250,249"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,246,665"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,240,681"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"34,255,378"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/01/01,"34,246,774"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/01/01,"34,256,648"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/01/01,"34,259,614"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/01/01,"34,249,122"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/01/01,"34,249,125"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/01/01,"34,249,120"
