المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,984,836"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,987,032"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,980,709"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/02,"36,003,948"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/02,"35,997,404"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/02,"35,999,299"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/04/05,"36,034,403"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/04/05,"36,034,101"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/05,"36,060,337"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/05,"36,038,234"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/06,"36,086,003"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/06,"36,080,771"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/06,"36,083,540"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/06,"36,070,358"
 الشرقية,الجبيل,القطاع العام,خدمة إلكترونية جزئيا,2026/04/06,"36,071,562"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/06,"36,068,018"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/06,"36,063,315"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/07,"36,107,797"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/07,"36,107,856"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/07,"36,109,432"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/07,"36,110,020"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/07,"36,109,802"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/07,"36,099,068"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/07,"36,099,390"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/07,"36,099,473"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/07,"36,098,912"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/08,"36,128,257"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/08,"36,128,443"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/08,"36,130,214"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/08,"36,118,461"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/08,"36,118,358"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/08,"36,129,288"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/08,"36,118,252"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/08,"36,118,471"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/08,"36,119,115"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/09,"36,150,818"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/09,"36,151,269"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/09,"36,161,643"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/09,"36,159,181"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/09,"36,152,042"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/09,"36,152,507"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/11,"36,183,925"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/11,"36,183,451"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/11,"36,183,761"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/12,"36,203,759"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/04/12,"36,195,003"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/12,"36,201,202"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/12,"36,187,854"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/12,"36,192,386"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/12,"36,202,793"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/12,"36,195,566"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/12,"36,203,048"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/12,"36,203,827"
