المنطقة,المدينة,المدينة / الحي,الرقم المرجعي للصفقة,تاريخ الصفقة ميلادي,تاريخ الصفقة هجري,تصنيف العقار,عدد العقارات,السعر,المساحة
منطقة مكة المكرمه,الطائف,الطائف/ الجودية ,34202829,2026/01/01,1447/07/12,سكني,1,"274,750",760.50
منطقة مكة المكرمه,الطائف,الطائف/ الجودية ,34250896,2026/01/01,1447/07/12,سكني,1,"40,000",750.00
منطقة مكة المكرمه,الطائف,الطائف/ الكدى ,34250931,2026/01/01,1447/07/12,تجاري,1,"2,500,000","1,250.22"
منطقة الرياض,الرياض,الرياض/البديعة,34252224,2026/01/01,1447/07/12,تجاري,1,"230,000",142.31
منطقة الرياض,الرياض,الرياض/العزيزية,34256013,2026/01/01,1447/07/12,سكني,1,"750,000",176.85
منطقة مكة المكرمه,الطائف,الطائف/ الحوية ,34252083,2026/01/01,1447/07/12,سكني,1,"700,000",828.62
منطقة الرياض,الرياض,الرياض/أحد,34250828,2026/01/01,1447/07/12,سكني,1,"459,000",155.31
منطقة الرياض,الدلم,الدلم/ حي الصناعية ,34247744,2026/01/01,1447/07/12,سكني,1,"300,000","1,200.00"
منطقة عسير,احد رفيده,احد رفيده/ العزيزية ,34258694,2026/01/01,1447/07/12,سكني,1,"340,240",340.24
منطقة عسير,احد رفيده,احد رفيده/ العزيزية ,34258476,2026/01/01,1447/07/12,سكني,1,"343,240",343.24
منطقة عسير,احد رفيده,احد رفيده/ العزيزية ,34258468,2026/01/01,1447/07/12,سكني,1,"459,360",459.36
منطقة الرياض,الرياض,الرياض/العريجاء,34257689,2026/01/01,1447/07/12,سكني,1,"750,000",400.00
منطقة مكة المكرمه,الطائف,الطائف/ المليساء ,34250952,2026/01/01,1447/07/12,سكني,1,"50,000",138.41
منطقة مكة المكرمه,الطائف,الطائف/ المليساء ,34252620,2026/01/01,1447/07/12,سكني,1,"849,597",699.86
منطقة الرياض,الرياض,الرياض/الشفاء,34256898,2026/01/01,1447/07/12,سكني,1,"1,100,000",297.70
منطقة عسير,بيشه,بيشه/أخرى,34252423,2026/01/01,1447/07/12,سكني,1,"450,000",600.00
