السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار  ر.س,متوسط الايجار لكل متر مربع ر.س
2026,1,الباحة,المخواة,الوئام,محل,تجاري,1,0,0
2026,1,الباحة,العقيق,المطار,دور,سكني,6,19200.66,124.1
2026,1,الباحة,المريبى وحناك الرين,المريبى وحناك الرين,شقة,سكني,3,13666.66,113.68
2026,1,الباحة,بلجرشي,الأرجوان,شقة,سكني,7,13142.85,121.4
2026,1,الباحة,بلجرشي,الأندلس,شقة,سكني,19,15073.4,127.62
2026,1,الباحة,العقيق,السلامة,مكتب,تجاري,1,0,0
2026,1,الباحة,قلوة,تهامة,شقة,سكني,28,13531.57,114.73
2026,1,الباحة,غينه,غينه,شقة,سكني,1,18000,120
2026,1,الباحة,شصيان,شصيان,شقة,سكني,1,9000,150
2026,1,الباحة,بلجرشي,المرجان,شقة,سكني,2,17700,110
2026,1,الباحة,مهيوب العمائر,مهيوب العمائر,شقة,سكني,1,9600,101.05
2026,1,الباحة,جرب,جرب,شقة,سكني,3,16000,73.38
2026,1,الباحة,المخواة,العروبة,شقة,سكني,36,14971.42,101.24
2026,1,الباحة,العقيق,الزهراء,استديو,سكني,2,16200,360
2026,1,الباحة,المخواه,المخواه,دور,سكني,1,22800,72.61
2026,1,الباحة,الباحة,السحاب,محل,تجاري,21,0,0
2026,1,الباحة,المندق,القيروان,شقة,سكني,1,18000,180
2026,1,الباحة,الباحة,الرحاب,استديو,سكني,1,12000,342.85
2026,1,الباحة,المكاتيم,التسامح,شقة,سكني,1,18000,150
2026,1,الباحة,الحبقه,الرحابة,محل,تجاري,1,0,0
2026,1,الباحة,الحبقه,الرحابة,شقة,سكني,3,15600,127.33
2026,1,الباحة,الصفراء,الصفراء,شقة,سكني,1,9600,137.14
2026,1,الباحة,الهدوان والقهبان,الرجاء,محل,تجاري,1,0,0
2026,1,الباحة,الخفج والخفيج,الخفج والخفيج,شقة,سكني,2,4800,34.04
2026,1,الباحة,ال مرزوق,المعالي,شقة,سكني,1,15000,166.66
2026,1,الباحة,الباحة,المنار,دور,سكني,1,14000,93.33
2026,1,الباحة,ابن محضره,ابن محضره,شقة,سكني,1,8400,84
2026,1,الباحة,المخواة - القتيباء,القتيباء,محل,تجاري,1,0,0
2026,1,الباحة,الاثايبه,الاثايبه,شقة,سكني,1,18000,100
2026,1,الباحة,المندق,البدر,محل,تجاري,8,0,0
2026,1,الباحة,بلجرشي,النور,محل,تجاري,4,0,0
2026,1,الباحة,المندق,العدل,محل,تجاري,3,0,0
2026,1,الباحة,بلجرشي,الفيصلية,محل,تجاري,1,0,0
2026,1,الباحة,غدي العياش,غدي العياش,شقة,سكني,1,12000,75
2026,1,الباحة,المندق,السراة,شقة,سكني,36,13574.07,105.19
2026,1,الباحة,القطاعاء والقاع,القطاعاء والقاع,محل,تجاري,1,0,0
2026,1,الباحة,دقم حجر رعى,دقم حجر رعى,شقة,سكني,1,18000,60
2026,1,الباحة,الباحة,المنتزهات,شقة,سكني,12,16444.44,105.75
2026,1,الباحة,ال مرزوق,الانصار,شقة,سكني,1,17000,132.68
2026,1,الباحة,ال مرزوق,الفيحاء,شقة,سكني,1,15000,100
2026,1,الباحة,قلوة,العزيزية,محل,تجاري,2,0,0
2026,1,الباحة,المخواة,القفيل,استديو,سكني,4,4900,175.55
2026,1,الباحة,الباحة,السوق,دور,سكني,5,29333.33,156.45
2026,1,الباحة,القريان,القريان,شقة,سكني,1,18000,90
2026,1,الباحة,الجوه,الجوه,شقة,سكني,1,4800,40
2026,1,الباحة,قريه وقهاوى ليف,قريه وقهاوى ليف,شقة,سكني,1,15000,78.94
2026,1,الباحة,القري - النباعه,النباعه,شقة,سكني,7,18000,123.33
2026,1,الباحة,السبتاء,السبتاء,شقة,سكني,1,18500,185
2026,1,الباحة,بلجرشي,المدار,شقة,سكني,4,15350,105.83
2026,1,الباحة,ليف الاعلى,الدرة,شقة,سكني,2,10800,72
2026,1,الباحة,الباحة,الواحة,محل,تجاري,1,0,0
2026,1,الباحة,الباحة,الحجاز,دور,سكني,8,12666.66,107.17
2026,1,الباحة,بلجرشي,العبير,فيلا,سكني,1,15000,20.27
2026,1,الباحة,قلوة,القادسية,محل,تجاري,14,0,0
2026,1,الباحة,المندق,الغروب,شقة,سكني,5,14880,106.78
2026,1,الباحة,غرابه,غرابه,شقة,سكني,2,15000,100
2026,1,الباحة,العقيق - السليم,السليم,دور,سكني,1,20000,177.95
2026,1,الباحة,الباحة,النسيم,شقة,سكني,47,17466.66,126.35
2026,1,الباحة,فاعه,فاعه,شقة,سكني,2,15000,90
2026,1,الباحة,الباحة,الورود,معرض تجاري,تجاري,1,0,0
2026,1,الباحة,الباحة,الورود,استديو,سكني,2,10500,210
2026,1,الباحة,العقيق,النخيل,معرض تجاري,تجاري,1,0,0
2026,1,الباحة,الباحة,المنتزهات,محل,تجاري,1,0,0
2026,1,الباحة,بلجرشي,العبير,شقة,سكني,4,14250,109.62
2026,1,الباحة,المخواة - المضحاه,المضحاه,شقة,سكني,1,15600,156
2026,1,الباحة,الباحة,السوق,مكتب,تجاري,8,0,0
2026,1,الباحة,بلجرشي,الزمرد,دور,سكني,1,22000,84.61
2026,1,الباحة,خميس الشعراء,خميس الشعراء,محل,تجاري,6,0,0
2026,1,الباحة,الحميدان,الميدان,شقة,سكني,14,15155.66,117.67
2026,1,الباحة,المخواة,الخالدية,محل,تجاري,19,0,0
2026,1,الباحة,حناك العقارب,حناك العقارب,شقة,سكني,1,12000,60
2026,1,الباحة,قوبيع,قوبيع,شقة,سكني,1,12000,120
2026,1,الباحة,الباحة,الربيع,معرض تجاري,تجاري,1,0,0
2026,1,الباحة,الباحة,الحسام,دور,سكني,1,14000,77.77
2026,1,الباحة,العقيق,المطار,استديو,سكني,2,10500,316.66
2026,1,الباحة,قرية الصدرة,قرية الصدرة,شقة,سكني,1,18000,180
2026,1,الباحة,عرض وجعه,عرض وجعه,شقة,سكني,1,18000,109.09
2026,1,الباحة,قلوة,الجود,شقة,سكني,1,6000,85.71
2026,1,الباحة,الباحة,الربيع,شقة,سكني,59,16220.46,123.49
2026,1,الباحة,الشوق,السد,شقة,سكني,2,14250,69.18
2026,1,الباحة,الأطاولة,شرق الاطاولة,شقة,سكني,16,12000,112.06
2026,1,الباحة,الباحة,الشفاء,محل,تجاري,1,0,0
2026,1,الباحة,الجرين,الجرين,محل,تجاري,2,0,0
2026,1,الباحة,قلوة - فاجه,فاجه,فيلا,سكني,1,14400,12
2026,1,الباحة,المندق,السراة,استديو,سكني,1,6000,60
2026,1,الباحة,المخواة,الخالدية,شقة,سكني,56,12281.11,81.74
2026,1,الباحة,الباحة,المروج,شقة,سكني,19,16794.11,127.48
2026,1,الباحة,قلوة - الشقره,الشقره,شقة,سكني,1,15000,78.94
2026,1,الباحة,بني حسن,العين,شقة,سكني,16,14899.69,131.93
2026,1,الباحة,القضايا,القضايا,شقة,سكني,1,18000,138.46
2026,1,الباحة,سوق الحجره,سوق الحجره,محل,تجاري,1,0,0
2026,1,الباحة,الخمر,الخمر,شقة,سكني,1,18000,60
2026,1,الباحة,الباحة,الحسام,معرض تجاري,تجاري,2,0,0
2026,1,الباحة,بلجرشي,الرهوة,محل,تجاري,1,0,0
2026,1,الباحة,الطلاقه السفلى,ال سكان والفرره,شقة,سكني,3,11600,136
2026,1,الباحة,الباحة,الربيع,استديو,سكني,2,5850,245
2026,1,الباحة,ال رداد ال سليم,اليمامة,شقة,سكني,3,13333.33,87.05
2026,1,الباحة,الباحة,المروج,محل,تجاري,1,0,0
2026,1,الباحة,العقيق,المطار,محل,تجاري,52,0,0
2026,1,الباحة,فرعة غامد الزناد - الصهوه,الصهوه,شقة,سكني,1,18000,180
2026,1,الباحة,الباحة,النسيم,استديو,سكني,2,9300,232.5
2026,1,الباحة,الحشو,الحشو,شقة,سكني,1,7000,41.17
2026,1,الباحة,الباحة,الخزامى,شقة,سكني,19,16073.33,112.72
2026,1,الباحة,الباحة,المصيف,محل,تجاري,13,0,0
2026,1,الباحة,ناوان,ناوان,محل,تجاري,10,0,0
2026,1,الباحة,الباحة,الحسام,محل,تجاري,20,0,0
2026,1,الباحة,الريانه,الريانه,محل,تجاري,1,0,0
2026,1,الباحة,سند النجيل,سند النجيل,شقة,سكني,2,18000,60
2026,1,الباحة,ال رداد ال سليم,اليمامة,محل,تجاري,1,0,0
2026,1,الباحة,ناوان,ناوان,شقة,سكني,38,15001.16,123.58
2026,1,الباحة,الباحة,الورود,شقة,سكني,18,20414.28,154.36
2026,1,الباحة,الفرزة,الفرزة,شقة,سكني,2,14400,79.47
2026,1,الباحة,مهد عمق,مهد عمق,محل,تجاري,1,0,0
2026,1,الباحة,قلوة,السهول,دور,سكني,4,17400,85.38
2026,1,الباحة,حدبه القهيب المخطط,حدبه القهيب المخطط,محل,تجاري,5,0,0
2026,1,الباحة,الباحة,الندى,شقة,سكني,22,15916.66,135.56
2026,1,الباحة,قوران,قوران,شقة,سكني,1,18000,116.12
2026,1,الباحة,القوارير,المجد,شقة,سكني,4,15500,120.16
2026,1,الباحة,الرميضه,الرميضه,محل,تجاري,2,0,0
2026,1,الباحة,البيت الجديد,سند الدف والمعاقد,شقة,سكني,1,12000,120
