السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار  ر.س,متوسط الايجار لكل متر مربع ر.س
2026,1,الجوف,سكاكا,الرواد,شقة,سكني,13,8836.36,62.12
2026,1,الجوف,القريات,الزيتون,محل,تجاري,8,0,0
2026,1,الجوف,سكاكا,الفاروق,استديو,سكني,2,12000,375
2026,1,الجوف,سكاكا,النزهة,دور,سكني,1,30000,150
2026,1,الجوف,سكاكا,الشلهوب,محل,تجاري,75,0,0
2026,1,الجوف,سكاكا,بدر,شقة,سكني,36,14713.33,115.38
2026,1,الجوف,سكاكا,الربوة,استديو,سكني,2,6000,200
2026,1,الجوف,القريات,الخزامى,فيلا,سكني,4,25500,82.38
2026,1,الجوف,القريات,الياسمين,محل,تجاري,7,0,0
2026,1,الجوف,دومة الجندل,الملك فهد,استديو,سكني,3,9300,128.57
2026,1,الجوف,سكاكا,الواحة,محل,تجاري,1,0,0
2026,1,الجوف,سكاكا,الفرسان,دور,سكني,1,9600,80
2026,1,الجوف,سكاكا,الناصرية,فيلا,سكني,1,24000,96
2026,1,الجوف,سكاكا,الشلهوب,شقة,سكني,145,11741.57,101.84
2026,1,الجوف,سكاكا,السليمانية,دور,سكني,3,27400,140.54
2026,1,الجوف,القريات,النزهة,شقة,سكني,13,15600,103.56
2026,1,الجوف,سكاكا,السلام,استديو,سكني,3,9000,230
2026,1,الجوف,دومة الجندل,البوادي,محل,تجاري,3,0,0
2026,1,الجوف,سكاكا,المروج,استديو,سكني,1,4800,96
2026,1,الجوف,طبرجل,الخزامى,محل,تجاري,1,0,0
2026,1,الجوف,سكاكا,النزهة,شقة,سكني,16,13250,108.81
2026,1,الجوف,القريات,غطي,محل,تجاري,1,0,0
2026,1,الجوف,طبرجل,المروة,محل,تجاري,5,0,0
2026,1,الجوف,سكاكا,الشعلة,شقة,سكني,4,12300,88
2026,1,الجوف,سكاكا,الصناعية,محل,تجاري,29,0,0
2026,1,الجوف,دومة الجندل,غرب دومة الجندل,شقة,سكني,81,14070.58,106.17
2026,1,الجوف,القريات,الدعبوسية,شقة,سكني,17,14400,101.78
2026,1,الجوف,دومة الجندل,الوادي والبحيرات,محل,تجاري,1,0,0
2026,1,الجوف,سكاكا,الربوة,محل,تجاري,2,0,0
2026,1,الجوف,سكاكا,المطر,معرض تجاري,تجاري,3,0,0
2026,1,الجوف,سكاكا,بدر,محل,تجاري,5,0,0
2026,1,الجوف,سكاكا,التلال,شقة,سكني,52,13172.25,111.23
2026,1,الجوف,صوير,النزهة,شقة,سكني,3,12800,89.5
2026,1,الجوف,القريات,الزمرد,شقة,سكني,16,11018.18,104.25
2026,1,الجوف,طبرجل,المنتزة,شقة,سكني,39,15291.17,106.08
2026,1,الجوف,سكاكا,النهضة,فيلا,سكني,1,130000,866.66
2026,1,الجوف,العيساوية,الفيصلية,دور,سكني,1,8400,26.92
2026,1,الجوف,دومة الجندل,الوادي والبحيرات,شقة,سكني,5,12360,114.97
2026,1,الجوف,سكاكا,الياسمين,فيلا,سكني,2,24000,35.82
2026,1,الجوف,دومة الجندل,النزهة,شقة,سكني,22,13390,109.87
2026,1,الجوف,سكاكا,الكوثر,شقة,سكني,1,8400,84
2026,1,الجوف,طبرجل,الورود,شقة,سكني,116,13461.61,101.47
2026,1,الجوف,سكاكا,الضاحية,استديو,سكني,1,7200,144
2026,1,الجوف,القريات,الشفاء,استديو,سكني,13,8325,164.88
2026,1,الجوف,سكاكا,الزيتون,محل,تجاري,6,0,0
2026,1,الجوف,القريات,الأمير عبدالاله بن عبدالعزيز,دور,سكني,5,18720,90.76
2026,1,الجوف,سكاكا,الناصرية,شقة,سكني,446,12932,107.37
2026,1,الجوف,القريات,الرفاع,شقة,سكني,33,14751.72,108.19
2026,1,الجوف,القريات,المروج,معرض تجاري,تجاري,1,0,0
2026,1,الجوف,سكاكا,الشعلة,دور,سكني,1,22000,86.69
2026,1,الجوف,دومة الجندل,خذماء,شقة,سكني,41,12625.38,92.7
2026,1,الجوف,هديب,هديب,شقة,سكني,18,11985.71,82.11
2026,1,الجوف,سكاكا,الصالحية,استديو,سكني,7,6120,129.61
2026,1,الجوف,سكاكا,الضلع,دور,سكني,1,24000,96
2026,1,الجوف,القريات,الشفاء,شقة,سكني,260,13058.6,97.37
2026,1,الجوف,سكاكا,الزهراء,شقة,سكني,74,14215.38,112.22
2026,1,الجوف,سكاكا,العزيزية,محل,تجاري,32,0,0
2026,1,الجوف,دومة الجندل,الملك عبدالعزيز,شقة,سكني,1,15000,122.95
2026,1,الجوف,سكاكا,البديعة,محل,تجاري,12,0,0
2026,1,الجوف,دومة الجندل,الغدير,محل,تجاري,1,0,0
2026,1,الجوف,العيساوية,العزيزية,محل,تجاري,1,0,0
2026,1,الجوف,سكاكا,الفرسان,شقة,سكني,38,13400,109.54
2026,1,الجوف,العيساوية,الربوة,محل,تجاري,1,0,0
2026,1,الجوف,القريات,الفرسان,محل,تجاري,27,0,0
