السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار  ر.س,متوسط الايجار لكل متر مربع ر.س
2026,1,القصيم,الخبراء والسحابين,السلام,شقة,سكني,2,17000,80.44
2026,1,القصيم,قبة,حي الزهرة,شقة,سكني,6,13720,116.35
2026,1,القصيم,عنيزة,المنار,شقة,سكني,246,17020.15,115.4
2026,1,القصيم,البدائع,الرواد,دور,سكني,1,12000,48
2026,1,القصيم,الرس,الملك خالد,استديو,سكني,1,21600,360
2026,1,القصيم,عنيزة,المروج,محل,تجاري,13,0,0
2026,1,القصيم,الرس,المنار,شقة,سكني,30,14563.81,117.31
2026,1,القصيم,الضلفعه,الضلفعه,محل,تجاري,2,0,0
2026,1,القصيم,كحله,كحله,محل,تجاري,1,0,0
2026,1,القصيم,بريدة,النقع الشرقي,محل,تجاري,10,0,0
2026,1,القصيم,البطين,حي الملك فهد,شقة,سكني,1,18000,90
2026,1,القصيم,بريدة,ضارج,دور,سكني,1,33000,165
2026,1,القصيم,الرس,الملك عبدالعزيز,دور,سكني,15,16150,90.59
2026,1,القصيم,الربيعيه,الربيعيه,محل,تجاري,4,0,0
2026,1,القصيم,مزارع الدحله,مزارع الدحله,شقة,سكني,1,18000,60
2026,1,القصيم,الرس,الشفاء,دور,سكني,21,18211.76,100.03
2026,1,القصيم,الخرماءالشماليه,الخرماءالشماليه,محل,تجاري,5,0,0
2026,1,القصيم,قصرابن عقيل,غرناطة,دور,سكني,3,10000,37.25
2026,1,القصيم,بريدة,الغدير,فيلا,سكني,2,20000,60.16
2026,1,القصيم,عنيزة,الأشرفية,فيلا,سكني,11,20277.77,48.34
2026,1,القصيم,الرس,المنار,محل,تجاري,26,0,0
2026,1,القصيم,المذنب,القادسية,شقة,سكني,16,11321.42,91.35
2026,1,القصيم,الشماسية,حي الغرسات,محل,تجاري,2,0,0
2026,1,القصيم,بريدة,الرحاب,فيلا,سكني,4,28750,77.16
2026,1,القصيم,المذنب,الدوائر الحكومي,دور,سكني,2,12000,90
2026,1,القصيم,بريدة,الشفق,دور,سكني,10,16888.88,92.83
2026,1,القصيم,الرس,المنار,استديو,سكني,4,16500,330
2026,1,القصيم,بريدة,التعليم,دور,سكني,6,10883.33,72.94
2026,1,القصيم,بريدة,البساتين الغربي,فيلا,سكني,2,14750,50.74
2026,1,القصيم,حريفيات درعه,حريفيات درعه,شقة,سكني,1,16000,266.66
2026,1,القصيم,عيون الجواء,الأفق,فيلا,سكني,1,12000,16.66
2026,1,القصيم,النبهانية,البلاد,محل,تجاري,8,0,0
2026,1,القصيم,بريدة,النقع الشرقي,شقة,سكني,46,14815.38,103.24
2026,1,القصيم,عين بن فهيد,حى التعاون,شقة,سكني,24,9785.71,66.35
2026,1,القصيم,بريدة,الرمال,دوبلاكس,سكني,1,30000,120
2026,1,القصيم,بريدة,المنار,فيلا,سكني,1,24000,66.66
2026,1,القصيم,بريدة,النقع الغربي,محل,تجاري,10,0,0
2026,1,القصيم,بريدة,الفلاح,معرض تجاري,تجاري,4,0,0
2026,1,القصيم,عنيزة,الرحمانية,شقة,سكني,1,18000,100
2026,1,القصيم,الرس,الربوة,دور,سكني,12,19509.09,81.68
2026,1,القصيم,بريدة,الضاحي الغربي,معرض تجاري,تجاري,2,0,0
2026,1,القصيم,عيون الجواء,النهضة,فيلا,سكني,2,20000,104.54
2026,1,القصيم,بريدة,النفل,دور,سكني,2,18500,77.14
2026,1,القصيم,المذنب,النخيل,محل,تجاري,2,0,0
2026,1,القصيم,ضرية,مركز المطيوي,شقة,سكني,3,12000,122.04
2026,1,القصيم,الدليمية,الدليميه,معرض تجاري,تجاري,1,0,0
2026,1,القصيم,الرس,النخيل,محل,تجاري,6,0,0
2026,1,القصيم,المذنب,الدوائر الحكومي,محل,تجاري,10,0,0
2026,1,القصيم,الرس,الربوة,شقة,سكني,32,13238.88,78.35
2026,1,القصيم,الرس,الشفاء,شقة,سكني,34,13373.6,96.31
2026,1,القصيم,الرس,الريان,دور,سكني,12,19044.72,84.58
2026,1,القصيم,بريدة,الأمن,شقة,سكني,48,12565,107.01
2026,1,القصيم,دخنة,حي الملك عبدالله ,فيلا,سكني,1,21000,52.5
2026,1,القصيم,بريدة,السلام الغربي,محل,تجاري,6,0,0
2026,1,القصيم,البكيرية,الياسمين,محل,تجاري,2,0,0
