السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار  ر.س,متوسط الايجار لكل متر مربع ر.س
2026,1,عسير,المحيا,المحيا,محل,تجاري,1,0,0
2026,1,عسير,ظهران الجنوب,النخيل,محل,تجاري,3,0,0
2026,1,عسير,سراة عبيدة,القصر,شقة,سكني,2,16800,97
2026,1,عسير,خميس مطير,خميس مطير,دور,سكني,1,12000,100
2026,1,عسير,خميس مشيط,الجبل,فيلا,سكني,1,24000,53.33
2026,1,عسير,خميس مشيط,الوادي,شقة,سكني,2,12000,74.82
2026,1,عسير,حقو بن جوده,حقو بن جوده,شقة,سكني,1,12000,120
2026,1,عسير,النماص,اليمامة,معرض تجاري,تجاري,1,0,0
2026,1,عسير,بيشة,المروة,شقة,سكني,18,17520,140.29
2026,1,عسير,ظهران الجنوب,الرحيب,استديو,سكني,2,12600,193.5
2026,1,عسير,تثليث,الملك عبدالله,شقة,سكني,8,18000,110.73
2026,1,عسير,أبها,شمسان,استديو,سكني,7,19680,491.97
2026,1,عسير,بيشة,الأمير سلطان,شقة,سكني,186,15077.64,98.27
2026,1,عسير,البشائر,النهضة,شقة,سكني,2,19000,139.58
2026,1,عسير,خميس مشيط,المعارض,معرض تجاري,تجاري,2,0,0
2026,1,عسير,قنا,قنا,محل,تجاري,16,0,0
2026,1,عسير,سراة عبيدة,السلام,محل,تجاري,13,0,0
2026,1,عسير,النماص,البساتين,شقة,سكني,2,19800,120
2026,1,عسير,خميس مشيط,شباعة,دور,سكني,20,17540,101.74
2026,1,عسير,ام دبعه ( حشه ام نخله),ام دبعه ( حشه ام نخله),شقة,سكني,2,15600,97.88
2026,1,عسير,الدحو,الدحو,شقة,سكني,1,18000,90
2026,1,عسير,الرايغة,الرايغة,شقة,سكني,1,15000,96.77
2026,1,عسير,خميس مشيط,أم سرار,فيلا,سكني,1,33000,105.6
2026,1,عسير,خميس مشيط,الأمجاد,استديو,سكني,9,9950,191.69
2026,1,عسير,البجاده,البجاده,شقة,سكني,2,17000,170
2026,1,عسير,أبها,النسيم,استديو,سكني,4,11400,273
2026,1,عسير,خميس مشيط,الهدا,شقة,سكني,18,15646.15,102.96
2026,1,عسير,هجره النوره,هجره النوره,شقة,سكني,5,15602,76.46
2026,1,عسير,شديق القديم,شديق القديم,شقة,سكني,10,16520,119.67
2026,1,عسير,محائل,النهضة,محل,تجاري,7,0,0
2026,1,عسير,أبها,الغدير,دور,سكني,14,26238.46,117.23
2026,1,عسير,أحد رفيدة,المراغة,استديو,سكني,1,7200,48
2026,1,عسير,قنا,قنا,شقة,سكني,19,13255.55,106.92
2026,1,عسير,سراة عبيدة,مرحبين,دور,سكني,2,19000,138.34
2026,1,عسير,حضن القلالات,حضن القلالات,شقة,سكني,4,16000,119.6
2026,1,عسير,المجاردة - الردم,الردم,شقة,سكني,2,15000,150
2026,1,عسير,ال غراء,ال غراء,شقة,سكني,1,18000,150
2026,1,عسير,الخطوه,الخطوه,شقة,سكني,4,13975,134.16
2026,1,عسير,خميس مشيط,الروضة,فيلا,سكني,1,54000,421.47
2026,1,عسير,الملحه,الملحه,شقة,سكني,1,12000,75.94
2026,1,عسير,أبها,المطار,معرض تجاري,تجاري,6,0,0
2026,1,عسير,تثليث - الروضه,الروضه,فيلا,سكني,1,15600,26
2026,1,عسير,مزرعه المليحه,مزرعه المليحه,شقة,سكني,3,18000,88.06
2026,1,عسير,بلقرن,الروابي,فيلا,سكني,1,60000,153.84
2026,1,عسير,أبها,الفرعاء,محل,تجاري,6,0,0
2026,1,عسير,خميس مشيط,المنصورة,دوبلاكس,سكني,1,15000,85.66
2026,1,عسير,المجاردة - الغراء,الغراء,شقة,سكني,1,15000,150
2026,1,عسير,شعب الحجاريه,شعب الحجاريه,شقة,سكني,2,18000,90
2026,1,عسير,ظهران الجنوب,السلام,مكتب,تجاري,1,0,0
2026,1,عسير,أبها,الربوة,استديو,سكني,3,15900,193.57
2026,1,عسير,القناة,القناة,شقة,سكني,2,20000,77.52
2026,1,عسير,أبها,المطار,محل,تجاري,30,0,0
2026,1,عسير,النماص,المروج,دور,سكني,1,15000,60
2026,1,عسير,خميس مشيط - الحيمه,الحيمه,شقة,سكني,1,18000,60
2026,1,عسير,أبها,المنهل,دور,سكني,7,20942.85,102.98
2026,1,عسير,خميس مشيط,الهرير الشرقى,دور,سكني,8,21828.57,103.02
2026,1,عسير,الضبعانه (شركه الخضير),الضبعانه,محل,تجاري,1,0,0
2026,1,عسير,أبها,العقيق,دور,سكني,1,12000,57.14
2026,1,عسير,ال الاصفاء,ال الاصفاء,دور,سكني,1,15000,60
2026,1,عسير,أحد رفيدة,ال بريد,فيلا,سكني,1,18000,91.37
2026,1,عسير,الحلوه,الحلوه,شقة,سكني,1,12000,54.54
2026,1,عسير,أحد رفيدة,القرحاء 2,شقة,سكني,1,18000,90
2026,1,عسير,خميس مشيط,الوسام,استديو,سكني,1,6000,75
2026,1,عسير,أحد رفيدة - الواديين,الاطلال,شقة,سكني,1,14000,70
2026,1,عسير,النماص,الزهور,شقة,سكني,6,16333.33,85.01
2026,1,عسير,أبها,النسيم,محل,تجاري,16,0,0
2026,1,عسير,الطلحا أركبه البر,الطلحا أركبه البر,شقة,سكني,3,12666.66,42.22
2026,1,عسير,أبها,المفتاحة,محل,تجاري,3,0,0
2026,1,عسير,ابن عبيدي,ابن عبيدي,شقة,سكني,1,6000,75
2026,1,عسير,أبها,العرين,شقة,سكني,281,20486.23,122.04
2026,1,عسير,محائل,السلامة,دور,سكني,4,19733.33,89.14
2026,1,عسير,خميس مشيط,المستقبل,محل,تجاري,3,0,0
2026,1,عسير,خميس مشيط,أحد,محل,تجاري,5,0,0
2026,1,عسير,حقو محلوف,حقو محلوف,محل,تجاري,1,0,0
2026,1,عسير,وادي لنك,وادي لنك,شقة,سكني,3,15166.66,121.11
2026,1,عسير,أحد رفيدة,الفرعين 4,شقة,سكني,1,18000,60
2026,1,عسير,النماص,السد,دور,سكني,5,22343.6,157.81
2026,1,عسير,النماص - الغره,الغره,محل,تجاري,1,0,0
2026,1,عسير,مسناد,مسناد,شقة,سكني,1,18000,120
2026,1,عسير,محايل - المرباح,المرباح,شقة,سكني,1,17000,170
2026,1,عسير,العين,العين,شقة,سكني,1,12000,80
2026,1,عسير,خميس مشيط,الجشرة,استديو,سكني,5,10550,301.42
2026,1,عسير,وادى تضبي,وادى ممدد,شقة,سكني,1,6000,46.77
2026,1,عسير,بلسمر,البساتين,محل,تجاري,2,0,0
2026,1,عسير,بلقرن,المنتزة,شقة,سكني,1,12000,51.28
2026,1,عسير,النماص,البساتين,دور,سكني,1,12000,48
2026,1,عسير,بلقرن,الشاطئ,دور,سكني,3,17533.33,63.55
2026,1,عسير,خميس مشيط,المصيف,دور,سكني,8,21000,114.11
2026,1,عسير,أبها,تمنية,محل,تجاري,1,0,0
2026,1,عسير,أحد رفيدة - الواديين,النورس,شقة,سكني,5,13920,99.17
2026,1,عسير,صمات,صمات,محل,تجاري,1,0,0
2026,1,عسير,مخطط العسران,مخطط العسران,شقة,سكني,2,18000,148.06
2026,1,عسير,طريب,النسيم,شقة,سكني,3,13700,100.35
2026,1,عسير,مبايع,مبايع,دور,سكني,1,18000,180
2026,1,عسير,المجاردة,الروضة,شقة,سكني,74,13544.61,117.13
2026,1,عسير,المجاردة - العقده,العقده,شقة,سكني,1,12000,120
2026,1,عسير,أحد رفيدة,درب العقيدة,دور,سكني,1,18000,60
2026,1,عسير,أحد رفيدة - الواديين,الفاخرية,دور,سكني,1,6000,26.31
2026,1,عسير,المجاردة - الظاهره,الظاهره,شقة,سكني,2,10000,83.84
2026,1,عسير,الشل,وادى بن هشبل,استديو,سكني,13,5100,176.42
2026,1,عسير,محايل - الحشه,الحشه,شقة,سكني,1,12000,104.34
2026,1,عسير,مرشد القصير,مرشد القصير,شقة,سكني,2,18000,80
2026,1,عسير,خميس مشيط,الشرف,محل,تجاري,67,0,0
2026,1,عسير,الفرع (بئر محظه),الفرع (بئر محظه),شقة,سكني,2,12000,100
2026,1,عسير,رجال المع - الحقو,الحقو,شقة,سكني,4,10650,89.26
2026,1,عسير,المربع,المربع,شقة,سكني,3,16800,141.33
2026,1,عسير,محائل,اليرموك,شقة,سكني,11,13480,109.48
2026,1,عسير,محائل,الصناعية,شقة,سكني,1,18000,90
2026,1,عسير,ظهران الجنوب,العرين,محل,تجاري,1,0,0
2026,1,عسير,بلقرن,الصفح,محل,تجاري,10,0,0
2026,1,عسير,حبره الشماليه,حبره الشماليه,شقة,سكني,2,18000,95
2026,1,عسير,ملواه,ملواه,شقة,سكني,1,15000,150
2026,1,عسير,ظهران الجنوب,العرين,شقة,سكني,8,14650,114.88
2026,1,عسير,أبها,الخالدية,مكتب,تجاري,3,0,0
2026,1,عسير,ظهران الجنوب,الجنادرية,استديو,سكني,2,13800,138
2026,1,عسير,ال بالعلاء,ال بالعلاء,استديو,سكني,1,14400,480
2026,1,عسير,محائل,الشهداء,استديو,سكني,2,9300,216
2026,1,عسير,خميس مشيط,تارة,استديو,سكني,11,11400,290.87
2026,1,عسير,رجال المع - الشطين,الشطين,محل,تجاري,6,0,0
2026,1,عسير,محائل,الظهرة,محل,تجاري,1,0,0
2026,1,عسير,السويداء,السويداء,شقة,سكني,1,10000,78.05
2026,1,عسير,أبها,الشرقية,شقة,سكني,285,20008.1,121.78
2026,1,عسير, قنا - الجبهاء,الجبهاء,شقة,سكني,3,14800,82.22
2026,1,عسير,خميس مشيط,الهرير الغربى,شقة,سكني,238,16392.48,106.48
2026,1,عسير,خميس مشيط,الغرابة,شقة,سكني,1,12000,60
2026,1,عسير,أحد رفيدة,التسامح,شقة,سكني,2,18000,142.5
2026,1,عسير,خميس مشيط,الخالدية,استديو,سكني,20,7129.41,249.45
2026,1,عسير,أبها,المفتاحة,معرض تجاري,تجاري,1,0,0
2026,1,عسير,خميس مشيط,أم سرار,دوبلاكس,سكني,1,40000,312.01
2026,1,عسير,بارق - القابل,القادسية,محل,تجاري,9,0,0
2026,1,عسير,النميش,النميش,شقة,سكني,1,18000,60
2026,1,عسير,خميس مشيط,العند,دور,سكني,6,18160,69.76
2026,1,عسير,ظهران الجنوب,البستان,شقة,سكني,10,16200,91.63
2026,1,عسير,طريب,الخالدية,شقة,سكني,7,17271.42,122.13
2026,1,عسير,المعروض,المعروض,شقة,سكني,1,12000,100
2026,1,عسير,المجنب,المجنب,شقة,سكني,1,18000,140.49
2026,1,عسير,خميس مشيط,اليرموك,دور,سكني,9,19888.88,90.7
2026,1,عسير,ام دغر,ام دغر,محل,تجاري,1,0,0
2026,1,عسير,خميس مشيط,الربيع,شقة,سكني,222,15927.38,106.12
2026,1,عسير,مشراف,مشراف,شقة,سكني,3,18000,180
2026,1,عسير,بيشة,جميع,معرض تجاري,تجاري,1,0,0
2026,1,عسير,الغايل,الغايل,شقة,سكني,5,15600,119.14
2026,1,عسير,خميس مشيط,الصناعية,دور,سكني,2,18500,75.52
2026,1,عسير,خميس مشيط,شعب ذهبان,شقة,سكني,89,16555.4,107.6
2026,1,عسير,أبها,المروة,دور,سكني,1,16800,48
2026,1,عسير,الكردم,الكردم,شقة,سكني,2,18000,60
2026,1,عسير,الصنبور,الصنبور,شقة,سكني,1,18000,60
2026,1,عسير,حدبه نواجى,حدبه نواجى,شقة,سكني,1,9600,160
2026,1,عسير,عتيمان,عتيمان,شقة,سكني,5,13200,119.09
2026,1,عسير,البرك,الحزم,محل,تجاري,7,0,0
2026,1,عسير,الحشف وشعب معين,الحشف وشعب معين,شقة,سكني,9,15028.57,115.49
2026,1,عسير,أحد رفيدة,المنتزة,محل,تجاري,1,0,0
