السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار  ر.س,متوسط الايجار لكل متر مربع ر.س
2026,1,المنطقة الشرقية,قرية العليا,المروج,شقة,سكني,12,12650,122.64
2026,1,المنطقة الشرقية,الاحساء,محاسن الثاني,شقة,سكني,241,12951.12,107.6
2026,1,المنطقة الشرقية,الدمام,الزهور,شقة,سكني,1228,15854.43,155.31
2026,1,المنطقة الشرقية,الظهران,الدانة الشمالية,مكتب,تجاري,21,0,0
2026,1,المنطقة الشرقية,يبرين,المروج,شقة,سكني,1,18000,60
2026,1,المنطقة الشرقية,الاحساء,منسوبي التعليم الثاني,دور,سكني,1,14500,63.93
2026,1,المنطقة الشرقية,القطيف,ج33,شقة,سكني,8,19250,142.83
2026,1,المنطقة الشرقية,الدمام,ميناء الملك عبدالعزيز,شقة,سكني,31,25125.53,230.48
2026,1,المنطقة الشرقية,مدينه الجبيل الصناعيه,الحجاز,دور,سكني,1,40000,114.28
2026,1,المنطقة الشرقية,الجبيل,الضباب,دور,سكني,3,98333.33,718.44
2026,1,المنطقة الشرقية,الصداوى,الصداوي,محل,تجاري,4,0,0
2026,1,المنطقة الشرقية,الاحساء,النايفية,فيلا,سكني,6,26666.66,86.48
2026,1,المنطقة الشرقية,المركز السعودي لجسر الملك فهد,المركز السعودي لجسر الملك فهد,مكتب,تجاري,21,0,0
2026,1,المنطقة الشرقية,القطيف,الثريا,مكتب,تجاري,1,0,0
2026,1,المنطقة الشرقية,الخبر,البندرية,مكتب,تجاري,80,0,0
2026,1,المنطقة الشرقية,الخفجي,النهضة,محل,تجاري,4,0,0
2026,1,المنطقة الشرقية,حفر الباطن,النهضة,محل,تجاري,28,0,0
2026,1,المنطقة الشرقية,العيون,العيون الجنوبية,محل,تجاري,9,0,0
2026,1,المنطقة الشرقية,الدمام,الخالدية الجنوبية,محل,تجاري,11,0,0
2026,1,المنطقة الشرقية,الخبر,الخزامى,دوبلاكس,سكني,4,50000,171.59
2026,1,المنطقة الشرقية,الاحساء,قرية العمران الجنوبي,محل,تجاري,10,0,0
2026,1,المنطقة الشرقية,الجبيل,المرجان,مكتب,تجاري,1,0,0
2026,1,المنطقة الشرقية,الدمام,السلام,استديو,سكني,32,10269.56,262.15
2026,1,المنطقة الشرقية,الخبر,الحزام الذهبي,معرض تجاري,تجاري,6,0,0
2026,1,المنطقة الشرقية,حفر الباطن,الصناعية,شقة,سكني,30,12170,83.4
2026,1,المنطقة الشرقية,الخبر,الكوثر,استديو,سكني,14,16333.33,464.06
2026,1,المنطقة الشرقية,الجبيل,المرقاب,محل,تجاري,215,0,0
2026,1,المنطقة الشرقية,الدمام,الشاطئ الشرقي,استديو,سكني,10,25866.66,363.55
2026,1,المنطقة الشرقية,الدمام,الرابية,مكتب,تجاري,4,0,0
2026,1,المنطقة الشرقية,الجبيل,إشبيلية,شقة,سكني,71,26233.89,157.76
2026,1,المنطقة الشرقية,الاحساء,المربدية,استديو,سكني,3,17600,471.66
2026,1,المنطقة الشرقية,الدمام,عبدالله فؤاد,محل,تجاري,106,0,0
2026,1,المنطقة الشرقية,الاحساء,القادسية1,مكتب,تجاري,1,0,0
2026,1,المنطقة الشرقية,القطيف,الروضة,فيلا,سكني,2,16500,72.91
2026,1,المنطقة الشرقية,الجبيل,ج11,شقة,سكني,2,14000,103.45
2026,1,المنطقة الشرقية,الدمام,أحد,استديو,سكني,59,11751.11,323.35
2026,1,المنطقة الشرقية,الخفجي,تابع ل ارامكو,شقة,سكني,7,19500,128.97
2026,1,المنطقة الشرقية,الاحساء,قرطبة,محل,تجاري,3,0,0
2026,1,المنطقة الشرقية,هجرة السيح,هجرة السيح,محل,تجاري,4,0,0
2026,1,المنطقة الشرقية,الدمام,الأمانة,شقة,سكني,136,20556.77,149.58
2026,1,المنطقة الشرقية,محطه الخنيني رقم (2),محطه الخنيني رقم (2),محل,تجاري,4,0,0
2026,1,المنطقة الشرقية,الجبيل,صناعية العريفي - الجبيل,استديو,سكني,39,15071.42,281.81
2026,1,المنطقة الشرقية,العيون,وسط العيون,دوبلاكس,سكني,1,12000,40
2026,1,المنطقة الشرقية,بقيق,محطه راجح المري,محل,تجاري,14,0,0
2026,1,المنطقة الشرقية,الاحساء,محاسن الثاني,محل,تجاري,49,0,0
2026,1,المنطقة الشرقية,الدمام,السوق,معرض تجاري,تجاري,48,0,0
2026,1,المنطقة الشرقية,حفر الباطن,الفيحاء,محل,تجاري,27,0,0
2026,1,المنطقة الشرقية,الدمام,الفيحاء,دور,سكني,2,28000,164.2
2026,1,المنطقة الشرقية,حفر الباطن,قرطبة,شقة,سكني,34,16025.8,122.26
2026,1,المنطقة الشرقية,الاحساء,الرفيعة,شقة,سكني,54,10106.75,94.73
2026,1,المنطقة الشرقية,الاحساء,بلدة المنصورة,استديو,سكني,1,8000,177.77
2026,1,المنطقة الشرقية,الاحساء,محاسن ارامكو الأول,محل,تجاري,23,0,0
2026,1,المنطقة الشرقية,الدمام,الصناعية الأولى,محل,تجاري,4,0,0
2026,1,المنطقة الشرقية,حفر الباطن,الباطن,محل,تجاري,37,0,0
2026,1,المنطقة الشرقية,الخفجي,المروج,فيلا,سكني,2,55000,159.03
2026,1,المنطقة الشرقية,الجبيل,المرقاب,شقة,سكني,1781,21356.38,222.5
2026,1,المنطقة الشرقية,الاحساء,الفيصلية الثاني,محل,تجاري,26,0,0
2026,1,المنطقة الشرقية,القطيف,المناخ,محل,تجاري,9,0,0
2026,1,المنطقة الشرقية,خريص,خريص,شقة,سكني,1,18000,211.76
2026,1,المنطقة الشرقية,الدمام,الراكة الشمالية,استديو,سكني,119,17290.1,561.37
2026,1,المنطقة الشرقية,الخفجي,حي الياسمين,محل,تجاري,1,0,0
2026,1,المنطقة الشرقية,الاحساء,الصفاء الثاني,محل,تجاري,9,0,0
2026,1,المنطقة الشرقية,الدمام,طيبة,دور,سكني,48,35403.05,127.55
2026,1,المنطقة الشرقية,القطيف,النور,دور,سكني,1,6000,18.57
2026,1,المنطقة الشرقية,قرية العليا,الربوة,شقة,سكني,16,13384.61,115.95
2026,1,المنطقة الشرقية,الاحساء,الروضة2,محل,تجاري,42,0,0
2026,1,المنطقة الشرقية,الاحساء,الرفيعة,استديو,سكني,2,9000,450
2026,1,المنطقة الشرقية,عريعره,عريعره,محل,تجاري,35,0,0
2026,1,المنطقة الشرقية,الاحساء,محاسن الثاني,دور,سكني,18,23058.82,79.05
2026,1,المنطقة الشرقية,رأس تنورة,الدانة,مكتب,تجاري,7,0,0
2026,1,المنطقة الشرقية,القيصومة,الشفاء,شقة,سكني,30,14039.13,106.56
2026,1,المنطقة الشرقية,الدمام,النزهة,مكتب,تجاري,22,0,0
2026,1,المنطقة الشرقية,العيون,العيون الجنوبية,شقة,سكني,58,13383.32,122.52
2026,1,المنطقة الشرقية,الدمام,البساتين,شقة,سكني,3,25666.66,218.64
2026,1,المنطقة الشرقية,الخفجي,الفيحاء,محل,تجاري,3,0,0
2026,1,المنطقة الشرقية,الخفجي,غرناطة,شقة,سكني,1,14400,81.81
2026,1,المنطقة الشرقية,الدمام,الصناعية,شقة,سكني,62,16163.41,137.26
2026,1,المنطقة الشرقية,القطيف,المدني,دوبلاكس,سكني,1,25000,195
2026,1,المنطقة الشرقية,الخبر,الجسر,محل,تجاري,96,0,0
2026,1,المنطقة الشرقية,القطيف,الصدفة,محل,تجاري,20,0,0
2026,1,المنطقة الشرقية,الاحساء,هجر الخامس,محل,تجاري,4,0,0
2026,1,المنطقة الشرقية,الدمام,الفنار,شقة,سكني,1,40000,176.21
2026,1,المنطقة الشرقية,الاحساء,الملك فهد,استديو,سكني,7,9600,242.5
2026,1,المنطقة الشرقية,الاحساء,المعامرة,شقة,سكني,14,14230.76,96.83
2026,1,المنطقة الشرقية,مدينه الجبيل الصناعيه,مكه الجنوبيه,شقة,سكني,66,39267.7,322.82
2026,1,المنطقة الشرقية,الدمام,القادسية,استديو,سكني,106,10987.93,362.99
2026,1,المنطقة الشرقية,القطيف,الريف,مكتب,تجاري,1,0,0
2026,1,المنطقة الشرقية,الاحساء,برزان,شقة,سكني,21,13335.29,125.69
2026,1,المنطقة الشرقية,الدمام,المحمدية,معرض تجاري,تجاري,33,0,0
2026,1,المنطقة الشرقية,الاحساء,بلدة الصبايخ,محل,تجاري,1,0,0
2026,1,المنطقة الشرقية,الخبر,العقيق,محل,تجاري,13,0,0
2026,1,المنطقة الشرقية,الدمام,البادية,فيلا,سكني,3,22000,84.82
2026,1,المنطقة الشرقية,الاحساء,الصالحية,دور,سكني,4,10500,100.93
2026,1,المنطقة الشرقية,حفر الباطن,الخالدية,معرض تجاري,تجاري,10,0,0
2026,1,المنطقة الشرقية,بقيق,المدينة,مكتب,تجاري,2,0,0
2026,1,المنطقة الشرقية,القطيف,المشتل,محل,تجاري,13,0,0
2026,1,المنطقة الشرقية,الاحساء,بلدة الشهارين,استديو,سكني,1,20000,166.66
2026,1,المنطقة الشرقية,الاحساء,بلدة المقدام,شقة,سكني,6,11500,72.66
2026,1,المنطقة الشرقية,الدمام,الرابية,استديو,سكني,32,11087.35,466.41
2026,1,المنطقة الشرقية,الاحساء,الضباب,شقة,سكني,100,14475.6,116.9
2026,1,المنطقة الشرقية,رأس تنورة,الصناعية الأولي و الثانية - رأس تنوره,شقة,سكني,11,17666.66,130.2
2026,1,المنطقة الشرقية,الاحساء,الرفعة الجنوبية,محل,تجاري,99,0,0
2026,1,المنطقة الشرقية,بقيق,النزهة2,محل,تجاري,1,0,0
2026,1,المنطقة الشرقية,القطيف,الصفاء,شقة,سكني,10,18155.55,134.72
2026,1,المنطقة الشرقية,القطيف,الحزم,محل,تجاري,40,0,0
2026,1,المنطقة الشرقية,الدمام,ابن خلدون,فيلا,سكني,1,40000,155.27
2026,1,المنطقة الشرقية,الدمام,الطبيشي,دور,سكني,4,30000,150.27
2026,1,المنطقة الشرقية,الاحساء,الفيصل,دوبلاكس,سكني,1,24000,154.83
2026,1,المنطقة الشرقية,البويبيات,النسيم,شقة,سكني,1,18000,90
2026,1,المنطقة الشرقية,الاحساء,الرابع,شقة,سكني,5,16066.66,127.03
2026,1,المنطقة الشرقية,الخبر,الشراع,محل,تجاري,84,0,0
2026,1,المنطقة الشرقية,الذيبية,الذيبية,مكتب,تجاري,1,0,0
2026,1,المنطقة الشرقية,القطيف,عنك,شقة,سكني,50,16414.63,146.78
2026,1,المنطقة الشرقية,الدمام,الراكة الشمالية,مكتب,تجاري,62,0,0
2026,1,المنطقة الشرقية,الدمام,الشروق,شقة,سكني,41,20392.59,168.72
2026,1,المنطقة الشرقية,الظهران,الظهران,دور,سكني,2,45500,223.9
2026,1,المنطقة الشرقية,الاحساء,محاسن الأول,محل,تجاري,24,0,0
2026,1,المنطقة الشرقية,رأس تنورة,الفيحاء,شقة,سكني,247,16936.5,145.54
2026,1,المنطقة الشرقية,مدينه الجبيل الصناعيه,الحجاز,شقة,سكني,54,32392.5,242.94
2026,1,المنطقة الشرقية,الاحساء,الرويضة,دور,سكني,2,18750,136.4
2026,1,المنطقة الشرقية,رأس تنورة,الزهور,استديو,سكني,1,15600,195
2026,1,المنطقة الشرقية,القطيف,مياس,معرض تجاري,تجاري,2,0,0
2026,1,المنطقة الشرقية,الاحساء,الشغيبية,مكتب,تجاري,1,0,0
2026,1,المنطقة الشرقية,الدمام,الصناعية الثانية,شقة,سكني,42,23561.9,179.44
2026,1,المنطقة الشرقية,حفر الباطن,المحمدية,استديو,سكني,8,7200,125.35
2026,1,المنطقة الشرقية,الاحساء,بلدة المنيزلة,دور,سكني,1,8000,53.33
2026,1,المنطقة الشرقية,الاحساء,اليرموك,مكتب,تجاري,8,0,0
2026,1,المنطقة الشرقية,العيون,العيون الجنوبية,استديو,سكني,3,9750,105.55
2026,1,المنطقة الشرقية,الخفجي,الجوهرة,فيلا,سكني,2,24000,96
2026,1,المنطقة الشرقية,الاحساء,المعلمين,دور,سكني,5,12600,58.75
2026,1,المنطقة الشرقية,الاحساء,الريان,شقة,سكني,10,16500,119.8
2026,1,المنطقة الشرقية,مدينه الجبيل الصناعيه,دارين,محل,تجاري,6,0,0
2026,1,المنطقة الشرقية,الاحساء,الخدود,شقة,سكني,6,15375,154.06
2026,1,المنطقة الشرقية,حفر الباطن,السليمانية,مكتب,تجاري,1,0,0
2026,1,المنطقة الشرقية,مدينه الجبيل الصناعيه, نجد الشمالي,فيلا,سكني,18,50750,145.19
2026,1,المنطقة الشرقية,الاحساء,الوسيطة,دور,سكني,8,56075,85.84
2026,1,المنطقة الشرقية,القطيف,البحر,محل,تجاري,27,0,0
2026,1,المنطقة الشرقية,الخفجي,النزهة,محل,تجاري,3,0,0
2026,1,المنطقة الشرقية,الاحساء,بلدة بني معن,شقة,سكني,16,13042.85,118.36
2026,1,المنطقة الشرقية,الجبيل,ج6,محل,تجاري,2,0,0
2026,1,المنطقة الشرقية,الحويه (2),الحويه (2),شقة,سكني,1,12000,120
2026,1,المنطقة الشرقية,الاحساء,عين موسى,معرض تجاري,تجاري,3,0,0
2026,1,المنطقة الشرقية,القطيف,الربيعية,دوبلاكس,سكني,2,21500,97.58
2026,1,المنطقة الشرقية,القطيف,الكوثر,دور,سكني,1,31720,158.6
2026,1,المنطقة الشرقية,حفر الباطن,البلدية,شقة,سكني,353,14189.85,108.65
2026,1,المنطقة الشرقية,مدينه الجبيل الصناعيه,الأندلس,دوبلاكس,سكني,2,50000,226.13
2026,1,المنطقة الشرقية,الدمام,الفرسان,استديو,سكني,47,16187.84,413.24
2026,1,المنطقة الشرقية,الاحساء,الرفاع,شقة,سكني,153,11589.55,101.66
2026,1,المنطقة الشرقية,الخفجي,حي الحمراء,شقة,سكني,48,15764.51,129.98
2026,1,المنطقة الشرقية,الدمام,الزهور,معرض تجاري,تجاري,13,0,0
2026,1,المنطقة الشرقية,الدمام,الفردوس,محل,تجاري,8,0,0
2026,1,المنطقة الشرقية,مدينه الجبيل الصناعيه,القدس,مكتب,تجاري,1,0,0
2026,1,المنطقة الشرقية,القطيف,النقى,شقة,سكني,18,16150,121.69
2026,1,المنطقة الشرقية,القطيف,المرجان,محل,تجاري,1,0,0
2026,1,المنطقة الشرقية,الاحساء,محاسن ارامكو الأول,شقة,سكني,72,14090.32,109.06
2026,1,المنطقة الشرقية,القطيف,العقيق,مكتب,تجاري,1,0,0
2026,1,المنطقة الشرقية,حفر الباطن,المصيف,معرض تجاري,تجاري,9,0,0
2026,1,المنطقة الشرقية,بقيق,حي الربوة - بقيق,شقة,سكني,1,18000,90
2026,1,المنطقة الشرقية,مدينه الجبيل الصناعيه,دارين,فيلا,سكني,44,63166.66,158.66
2026,1,المنطقة الشرقية,القطيف,ج20,شقة,سكني,1,9600,120
2026,1,المنطقة الشرقية,القطيف,المنار,دور,سكني,1,22000,220
2026,1,المنطقة الشرقية,الخفجي,الجوهرة,دوبلاكس,سكني,1,27000,98.54
2026,1,المنطقة الشرقية,حفر الباطن,الصناعية,معرض تجاري,تجاري,3,0,0
2026,1,المنطقة الشرقية,الدمام,الصناعية الثانية,معرض تجاري,تجاري,4,0,0
2026,1,المنطقة الشرقية,الاحساء,الناصرية,محل,تجاري,14,0,0
2026,1,المنطقة الشرقية,القيصومة,الأندلس,شقة,سكني,28,11390,85.24
2026,1,المنطقة الشرقية,القطيف,غرب النابية,محل,تجاري,6,0,0
2026,1,المنطقة الشرقية,الجبيل,ميناء راس الغار العسكري,شقة,سكني,4,23500,196.56
2026,1,المنطقة الشرقية,رأس تنورة,الفيحاء,محل,تجاري,31,0,0
2026,1,المنطقة الشرقية,الاحساء,القادسية1,محل,تجاري,16,0,0
2026,1,المنطقة الشرقية,القطيف,الجامعيين,دور,سكني,1,6000,30
2026,1,المنطقة الشرقية,القطيف,الريف,محل,تجاري,11,0,0
2026,1,المنطقة الشرقية,الجبيل,المرقاب,فيلا,سكني,5,46000,152.05
2026,1,المنطقة الشرقية,الدمام,الشروق,محل,تجاري,13,0,0
2026,1,المنطقة الشرقية,مليجة,الشفاء,محل,تجاري,1,0,0
2026,1,المنطقة الشرقية,الاحساء,قرية العمران الغربية,شقة,سكني,68,10824.16,105.63
2026,1,المنطقة الشرقية,القطيف,الزهور,مكتب,تجاري,8,0,0
2026,1,المنطقة الشرقية,حفر الباطن,النخيل,معرض تجاري,تجاري,1,0,0
2026,1,المنطقة الشرقية,الخفجي,المروج,شقة,سكني,52,12648.83,98.87
