السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار  ر.س,متوسط الايجار لكل متر مربع ر.س
2026,1,حائل,الكهفه,الكهفة,دور,سكني,1,23000,79.31
2026,1,حائل,الخبه,الخبة,شقة,سكني,2,18000,120
2026,1,حائل,الغزالة - الغزاله,وسط الغزالة,شقة,سكني,24,12327.77,76.39
2026,1,حائل,الشملى,الحفيرة الغربي,شقة,سكني,4,16500,96.09
2026,1,حائل,حائل,الزبارة,دوبلاكس,سكني,1,27000,145.94
2026,1,حائل,دفاين الضبا,دفاين الضباء,شقة,سكني,1,18000,150
2026,1,حائل,حائل,سماح,دور,سكني,1,13200,82.5
2026,1,حائل,حائل,الملك عبدالله,دور,سكني,5,13650,66.37
2026,1,حائل,تربة,الريان,شقة,سكني,6,12400,94
2026,1,حائل,ضليع الصوان,ضليع الصوان,شقة,سكني,1,15000,117.07
2026,1,حائل,حائل,المصيف,استديو,سكني,3,11000,286.66
2026,1,حائل,حائل,البحيرة,معرض تجاري,تجاري,1,0,0
2026,1,حائل,الشملى,الحفيرة الأوسط,شقة,سكني,9,16200,95.32
2026,1,حائل,هجرة المخروق,هجرة المخروق,شقة,سكني,1,6000,66.66
2026,1,حائل,الشنان - الصفراء,الصفراء,شقة,سكني,1,18000,94.73
2026,1,حائل,جبة,الثالث,فيلا,سكني,1,30000,100
2026,1,حائل,حائل,أجا,دوبلاكس,سكني,2,21900,115.35
2026,1,حائل,حائل,الوسيطاء,استديو,سكني,33,8892.3,194.25
2026,1,حائل,حائل,قرطبة,دور,سكني,12,19758.33,84.75
2026,1,حائل,جبة,الخامس,شقة,سكني,4,13500,52.5
2026,1,حائل,منيفة القاعد,منيفة القاعد,محل,تجاري,30,0,0
2026,1,حائل,حائل,قرية النيصية,شقة,سكني,71,17482.85,125.54
2026,1,حائل,حائل,البادية,فيلا,سكني,5,16000,59.2
2026,1,حائل,فيد,فيد,محل,تجاري,3,0,0
2026,1,حائل,حائل,مشار,استديو,سكني,1,20295,338.25
2026,1,حائل,حائل,السمراء,دور,سكني,19,18933.33,80.91
2026,1,حائل,الحائط,السلام,استديو,سكني,1,9600,96.96
2026,1,حائل,الذكرى,الذكري,شقة,سكني,1,18000,150
2026,1,حائل,بقعاء,حي ج7,محل,تجاري,4,0,0
2026,1,حائل,حائل,المجد,محل,تجاري,1,0,0
2026,1,حائل,حائل,صبابة,دوبلاكس,سكني,2,24000,98.7
2026,1,حائل,السليمي - البركه,البركة,محل,تجاري,1,0,0
2026,1,حائل,حائل,الزهراء,استديو,سكني,5,14550,414.69
2026,1,حائل,الجحفه,الجحفة,محل,تجاري,2,0,0
2026,1,حائل,حائل,صبابة,محل,تجاري,24,0,0
2026,1,حائل,المحنا,المحناء,شقة,سكني,1,9600,61.93
2026,1,حائل,حائل,صبابة,دور,سكني,3,21000,97.26
2026,1,حائل,حائل,المحطة,دور,سكني,7,12100,59.95
2026,1,حائل,الجبريه,الجبرية,شقة,سكني,13,13636.36,106.66
2026,1,حائل,مشاش  بن جازي,مشاش بن جازي,شقة,سكني,1,5000,52.63
2026,1,حائل,بقعاء,الوسطى,محل,تجاري,17,0,0
2026,1,حائل,العويد,العويد,شقة,سكني,1,18000,90
2026,1,حائل,حائل,الورود,محل,تجاري,15,0,0
2026,1,حائل,حائل,أجا,دور,سكني,23,22370,99.23
2026,1,حائل,مران,مران,شقة,سكني,1,18000,116.12
2026,1,حائل,حائل,العليا,شقة,سكني,1,12000,100
2026,1,حائل,العراديه,العرادية,محل,تجاري,4,0,0
2026,1,حائل,الكهيفيه,الكهيفية,دور,سكني,1,12000,60
2026,1,حائل,الرقب,الرقب,شقة,سكني,2,17500,190.88
2026,1,حائل,عثمر   المخطط,عثمر ,فيلا,سكني,1,21600,61.71
2026,1,حائل,الدابيه,الدابية,شقة,سكني,1,18000,90
2026,1,حائل,موقق,موقق,شقة,سكني,9,15142.85,120.11
2026,1,حائل,حائل,السويفلة الجديد,فيلا,سكني,1,33000,85.71
2026,1,حائل,حائل,البادية,دور,سكني,16,15087.5,74.24
2026,1,حائل,الشملى,الحفيرة الأوسط,دور,سكني,1,5000,20
2026,1,حائل,طابه,طابه,شقة,سكني,4,15750,113.31
2026,1,حائل,حائل,الرصف,استديو,سكني,4,17200,217.25
2026,1,حائل,بدع بن خلف,بدع بن خلف,شقة,سكني,7,18000,153.44
2026,1,حائل,حائل - الجديده,الجديدة,شقة,سكني,19,12775,79.35
2026,1,حائل,الشملى,الحفيرة الشرقي,محل,تجاري,3,0,0
2026,1,حائل,حائل,الوسيطاء,معرض تجاري,تجاري,5,0,0
2026,1,حائل,حائل,الخماشية,استديو,سكني,1,6000,240
2026,1,حائل,الصفياء,الصفياء,شقة,سكني,1,18000,180
2026,1,حائل,حائل,صلاح الدين الغربي,دور,سكني,4,16666.66,53.74
