السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار  ر.س,متوسط الايجار لكل متر مربع ر.س
2026,1,المدينة المنورة,ينبع,المجد,دوبلاكس,سكني,1,45000,100.44
2026,1,المدينة المنورة,المدينة المنورة,الأصيفرين,محل,تجاري,42,0,0
2026,1,المدينة المنورة,ينبع,العقيق,محل,تجاري,9,0,0
2026,1,المدينة المنورة,ثرب,ثرب,محل,تجاري,9,0,0
2026,1,المدينة المنورة,الرويضه,الرويضه,شقة,سكني,1,18000,180
2026,1,المدينة المنورة,ينبع,الزهور,محل,تجاري,152,0,0
2026,1,المدينة المنورة,العيص,العيينه,شقة,سكني,14,13892.3,155.56
2026,1,المدينة المنورة,ينبع النخل,ينبع النخل,فيلا,سكني,1,18000,72
2026,1,المدينة المنورة,العلا,ساق,محل,تجاري,1,0,0
2026,1,المدينة المنورة,الحلحال,سدير,شقة,سكني,2,15000,63.33
2026,1,المدينة المنورة,ينبع,الجار,شقة,سكني,1,15000,176.47
2026,1,المدينة المنورة,المدينة المنورة,طيبة,استديو,سكني,7,13600,266.66
2026,1,المدينة المنورة,المدينة المنورة,قربان,استديو,سكني,1,10000,200
2026,1,المدينة المنورة,المدينة المنورة,الشهداء,محل,تجاري,22,0,0
2026,1,المدينة المنورة,الحناكية,مخطط الآمتداد الغربي,شقة,سكني,20,16812.5,116.13
2026,1,المدينة المنورة,المدينة المنورة,السد,شقة,سكني,204,21029.7,143.63
2026,1,المدينة المنورة,المدينة المنورة,بنى ظفر,مكتب,تجاري,26,0,0
2026,1,المدينة المنورة,ينبع,الامارة,فيلا,سكني,2,36000,73.42
2026,1,المدينة المنورة,الفارع,الفارع,شقة,سكني,1,18000,112.5
2026,1,المدينة المنورة,المدينة المنورة,بئر عثمان,فيلا,سكني,11,48888.66,106.41
2026,1,المدينة المنورة,وقير,وقير,محل,تجاري,1,0,0
2026,1,المدينة المنورة,ينبع,المروج,دوبلاكس,سكني,2,22000,91.28
2026,1,المدينة المنورة,ينبع,الجابرية,شقة,سكني,195,16043.69,125.24
2026,1,المدينة المنورة,العلا,المنح ب,محل,تجاري,31,0,0
2026,1,المدينة المنورة,مهد الذهب,الخالدية,شقة,سكني,12,15172.72,142.47
2026,1,المدينة المنورة,ينبع,السميرى,استديو,سكني,5,19600,380.58
2026,1,المدينة المنورة,المنتزهه,المنتزهه,شقة,سكني,1,18000,90
2026,1,المدينة المنورة,بدر,الشهداء,محل,تجاري,36,0,0
2026,1,المدينة المنورة,المدينة المنورة,الدويخلة,شقة,سكني,228,18602.08,134.89
2026,1,المدينة المنورة,ينبع النخل,ينبع النخل,محل,تجاري,10,0,0
2026,1,المدينة المنورة,المدينة المنورة,الخضراء,استديو,سكني,2,17700,236
2026,1,المدينة المنورة,المدينة المنورة,الجصة,فيلا,سكني,1,40000,111.42
2026,1,المدينة المنورة,الثمد,الحي الغربي,مكتب,تجاري,2,0,0
2026,1,المدينة المنورة,المدينة المنورة,السكب,دور,سكني,3,35000,116.66
2026,1,المدينة المنورة,الحناكية,مخطط الاستيطان,دور,سكني,2,42000,112.29
2026,1,المدينة المنورة,المدينة المنورة,الدويمة,دوبلاكس,سكني,1,15000,37.5
2026,1,المدينة المنورة,المدينة المنورة,المغيسلة,محل,تجاري,194,0,0
2026,1,المدينة المنورة,المدينة المنورة,جماء أم خالد,معرض تجاري,تجاري,1,0,0
2026,1,المدينة المنورة,ينبع,الحوراء,شقة,سكني,46,16050.66,126.34
2026,1,المدينة المنورة,وريثان,وريثان,محل,تجاري,6,0,0
2026,1,المدينة المنورة,ينبع,النسيم,استديو,سكني,36,11135.29,320.31
2026,1,المدينة المنورة,ينبع,الحدائق,فيلا,سكني,1,30000,100
2026,1,المدينة المنورة,المدينة المنورة,الدويخلة,معرض تجاري,تجاري,8,0,0
2026,1,المدينة المنورة,ينبع,الصبح,استديو,سكني,1,17000,680
2026,1,المدينة المنورة,المدينة المنورة,السيح,استديو,سكني,2,8400,148
2026,1,المدينة المنورة,المدينة المنورة,بنى بياضة,شقة,سكني,168,18167.81,130.86
2026,1,المدينة المنورة,ينبع,الوادي,معرض تجاري,تجاري,1,0,0
2026,1,المدينة المنورة,العلا,العزيزية,شقة,سكني,118,21097.36,161.13
2026,1,المدينة المنورة,المدينة المنورة,جماء أم خالد,دور,سكني,1,27000,150
2026,1,المدينة المنورة,المدينة المنورة,الحرم ,محل,تجاري,48,0,0
2026,1,المدينة المنورة,المدينة المنورة,بنى معاوية,دور,سكني,1,22800,86.03
2026,1,المدينة المنورة,المدينة المنورة,التلعة,شقة,سكني,60,14666.92,109.75
2026,1,المدينة المنورة,المدينة المنورة,الجماوات,شقة,سكني,193,25092.1,165.16
2026,1,المدينة المنورة,خيف ام ذيان,خيف ام ذيان,محل,تجاري,2,0,0
2026,1,المدينة المنورة,الدحيله,الدحيله,شقة,سكني,2,18000,135.88
2026,1,المدينة المنورة,ينبع,الصفاء,شقة,سكني,1,10500,109.09
2026,1,المدينة المنورة,بريريق,بريريق,شقة,سكني,1,15000,78.94
2026,1,المدينة المنورة,المدينة المنورة,الدرع,دور,سكني,1,28800,126.31
2026,1,المدينة المنورة,ينبع,الواحة,شقة,سكني,8,12433.33,115.69
2026,1,المدينة المنورة,المدينة المنورة,نبلاء,فيلا,سكني,4,36250,107.59
2026,1,المدينة المنورة,المدينة المنورة,حرة الوبرة,معرض تجاري,تجاري,1,0,0
2026,1,المدينة المنورة,المدينة المنورة,وادي الحمض,محل,تجاري,7,0,0
2026,1,المدينة المنورة,ينبع النخل,ينبع النخل,شقة,سكني,9,16500,75
2026,1,المدينة المنورة,المدينة المنورة,أم السيوف,شقة,سكني,3,19600,217.77
2026,1,المدينة المنورة,ينبع,مشرفة,استديو,سكني,1,20000,333.33
2026,1,المدينة المنورة,المدينة المنورة,وادي الحمض,شقة,سكني,7,12914.28,105.42
2026,1,المدينة المنورة,المدينة المنورة,الحرم ,شقة,سكني,5,17000,106.5
2026,1,المدينة المنورة,المهد - الحفيره,الحفيره,شقة,سكني,1,17500,116.66
2026,1,المدينة المنورة,الحاقنة,حي الضميرية,محل,تجاري,2,0,0
2026,1,المدينة المنورة,المدينة المنورة,المدينة الصناعية,شقة,سكني,141,18033.73,130.8
2026,1,المدينة المنورة,مهد الذهب,الوادي,شقة,سكني,1,24000,352.94
2026,1,المدينة المنورة,مهد الذهب,المنتزهات,دور,سكني,1,10200,68
2026,1,المدينة المنورة,ينبع,السميرى,معرض تجاري,تجاري,1,0,0
2026,1,المدينة المنورة,المدينة المنورة,الدويمة,دور,سكني,3,16200,139.28
2026,1,المدينة المنورة,ينبع,الصناعات الخفيفة,محل,تجاري,2,0,0
2026,1,المدينة المنورة,ينبع,الامارة,شقة,سكني,146,16934.54,107.19
2026,1,المدينة المنورة,الفقعلي,الفقعلي,محل,تجاري,9,0,0
2026,1,المدينة المنورة,المدينة المنورة,العهن,دوبلاكس,سكني,1,50000,250
2026,1,المدينة المنورة,ينبع,مشرفة,دور,سكني,1,8400,42
2026,1,المدينة المنورة,الحناكية,حي الحمادة,محل,تجاري,4,0,0
2026,1,المدينة المنورة,البقاريه (الفرعه),البقاريه (الفرعه),شقة,سكني,1,6000,46.8
2026,1,المدينة المنورة,المدينة المنورة,المندسة,محل,تجاري,5,0,0
2026,1,المدينة المنورة,مهد الذهب,العلم,محل,تجاري,11,0,0
