السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار  ر.س,متوسط الايجار لكل متر مربع ر.س
2026,1,مكة المكرمة,تربة,العلاوة الغربية,دور,سكني,1,12000,66.66
2026,1,مكة المكرمة,محطه حشاش,محطه حشاش,شقة,سكني,1,6000,50
2026,1,مكة المكرمة,الطائف,العرج الأسفل,استديو,سكني,16,17400,225
2026,1,مكة المكرمة,اضم - الخاصره,الخاصره,شقة,سكني,1,18000,90
2026,1,مكة المكرمة,رنية,السلم,شقة,سكني,13,17388.88,106.04
2026,1,مكة المكرمة,مكة المكرمة,البساتين,شقة,سكني,120,19445.55,130.8
2026,1,مكة المكرمة,جدة,الزهراء,معرض تجاري,تجاري,110,0,0
2026,1,مكة المكرمة,الطائف,القطبية الغربية,محل,تجاري,119,0,0
2026,1,مكة المكرمة,جدة,درة العروس,فيلا,سكني,36,252964.08,483.93
2026,1,مكة المكرمة,مكة المكرمة,الهنداوية,محل,تجاري,85,0,0
2026,1,مكة المكرمة,جدة,الثغر,دوبلاكس,سكني,2,26400,118.12
2026,1,مكة المكرمة,الطائف,شهار,شقة,سكني,176,19008.53,126.41
2026,1,مكة المكرمة,جدة,الصحيفة,مكتب,تجاري,2,0,0
2026,1,مكة المكرمة,رنية,الدارالبيضاء,شقة,سكني,6,17100,129.85
2026,1,مكة المكرمة,مكة المكرمة,حي الصفرة,شقة,سكني,3,12933.33,75.81
2026,1,مكة المكرمة,غره,غره,شقة,سكني,1,14000,127.27
2026,1,مكة المكرمة,الطائف,الواصلية,دور,سكني,1,6000,50
2026,1,مكة المكرمة,الصلب,الصلب,شقة,سكني,3,11400,73.16
2026,1,مكة المكرمة,تربة,الحائريه,محل,تجاري,2,0,0
2026,1,مكة المكرمة,جدة,الأجواد,استديو,سكني,28,14342.85,475.18
2026,1,مكة المكرمة,جدة,السلامة,فيلا,سكني,43,72595.03,257.01
2026,1,مكة المكرمة,دغيبجه,دغيبجه,محل,تجاري,4,0,0
2026,1,مكة المكرمة,جدة,أم حبلين الغربية,مكتب,تجاري,3,0,0
2026,1,مكة المكرمة,مكة المكرمة,السلامة,شقة,سكني,576,18310.24,118.74
2026,1,مكة المكرمة,الجوبه,الجوبه,شقة,سكني,1,18000,180
2026,1,مكة المكرمة,جدة,درة العروس,دور,سكني,2,127500,510
2026,1,مكة المكرمة,جدة,غليل,فيلا,سكني,1,62000,172.22
2026,1,مكة المكرمة,جدة,النور,استديو,سكني,25,18600,604.28
2026,1,مكة المكرمة,جدة,الأجاويد,دوبلاكس,سكني,2,50000,186.44
2026,1,مكة المكرمة,مكة المكرمة,العمرة,استديو,سكني,41,8805.88,261.43
2026,1,مكة المكرمة,الطائف - الصالحيه,الصالحيه,محل,تجاري,1,0,0
2026,1,مكة المكرمة,القنفذة,المستقبل,دور,سكني,1,78000,390
2026,1,مكة المكرمة,مكة المكرمة,المسيال الجديد,فيلا,سكني,9,26500,89.25
2026,1,مكة المكرمة,جدة,اللؤلؤ,فيلا,سكني,42,78214.28,307.32
2026,1,مكة المكرمة,جدة,أبحر الشمالية,فيلا,سكني,182,80980.62,284.46
2026,1,مكة المكرمة,مكة المكرمة,الخنساء,معرض تجاري,تجاري,5,0,0
2026,1,مكة المكرمة,مكة المكرمة,حي العقبة الشمالي,استديو,سكني,1,8400,420
2026,1,مكة المكرمة,الجموم - بحرة,النسيم,شقة,سكني,36,14125,104.36
2026,1,مكة المكرمة,الجموم - بحرة,الأصالة,شقة,سكني,183,17659.48,120.7
2026,1,مكة المكرمة,الطائف,شهار,معرض تجاري,تجاري,11,0,0
