السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار  ر.س,متوسط الايجار لكل متر مربع ر.س
2026,1,الحدود الشماليه,العويقيلة,المنار,دور,سكني,1,18000,150
2026,1,الحدود الشماليه,عرعر,المطار,دور,سكني,3,15000,66.75
2026,1,الحدود الشماليه,رفحاء,حي الضاحية,فيلا,سكني,3,26800,75.2
2026,1,الحدود الشماليه,العويقيلة,المنار,محل,تجاري,2,0,0
2026,1,الحدود الشماليه,روضة هباس,مخطط روضة هباس ,دور,سكني,1,12000,30
2026,1,الحدود الشماليه,رفحاء,الورود,دور,سكني,14,18000,58.44
2026,1,الحدود الشماليه,عرعر,النسيم,دور,سكني,4,27000,131.71
2026,1,الحدود الشماليه,رفحاء,الروضة,شقة,سكني,90,13043.66,91.29
2026,1,الحدود الشماليه,العويقيلة,الروضة,مكتب,تجاري,1,0,0
2026,1,الحدود الشماليه,عرعر,الروابي,استديو,سكني,1,8400,140
2026,1,الحدود الشماليه,عرعر,المحمدية,محل,تجاري,77,0,0
2026,1,الحدود الشماليه,طريف,إسكان قوى الأمن,محل,تجاري,2,0,0
2026,1,الحدود الشماليه,رفحاء,المحمدية,دور,سكني,5,16680,80.22
2026,1,الحدود الشماليه,عرعر,الخالدية,شقة,سكني,64,12876.36,129.14
2026,1,الحدود الشماليه,عرعر,الحرس الوطني,شقة,سكني,37,14880,114.1
2026,1,الحدود الشماليه,عرعر,المنصورية,دور,سكني,14,13523.07,80.53
2026,1,الحدود الشماليه,لينه,حي لينة الجديدة,شقة,سكني,4,16000,80
2026,1,الحدود الشماليه,رفحاء,الروضة,فيلا,سكني,1,30000,100
2026,1,الحدود الشماليه,رفحاء,المحمدية,شقة,سكني,96,12059.75,91.44
2026,1,الحدود الشماليه,رفحاء,الاداري,معرض تجاري,تجاري,1,0,0
2026,1,الحدود الشماليه,عرعر,النخيل الجنوبي,شقة,سكني,33,14144.04,93.09
2026,1,الحدود الشماليه,روضة هباس,مخطط الصناعية,شقة,سكني,1,18000,60
2026,1,الحدود الشماليه,العويقيلة,الصناعية,شقة,سكني,1,18000,60
2026,1,الحدود الشماليه,طريف,مخطط الإسكان1,محل,تجاري,3,0,0
2026,1,الحدود الشماليه,عرعر,المنصورية,معرض تجاري,تجاري,1,0,0
2026,1,الحدود الشماليه,طريف,أرض وزارة الاسكان,شقة,سكني,24,14640,107.29
2026,1,الحدود الشماليه,طريف,الشفاء,محل,تجاري,13,0,0
2026,1,الحدود الشماليه,عرعر,المروج الشرقي,فيلا,سكني,1,12000,30
2026,1,الحدود الشماليه,عرعر,المروج الغربي,محل,تجاري,25,0,0
2026,1,الحدود الشماليه,عرعر,الخليج العربي الشرقي,شقة,سكني,6,15240,132.5
2026,1,الحدود الشماليه,طريف,الورود,شقة,سكني,203,15593.74,121.99
2026,1,الحدود الشماليه,عرعر,الصناعية الأولى,محل,تجاري,10,0,0
2026,1,الحدود الشماليه,عرعر,القدس الغربي,دور,سكني,2,12600,45.71
2026,1,الحدود الشماليه,عرعر,الصالحية,فيلا,سكني,1,40000,200
2026,1,الحدود الشماليه,رفحاء,الاداري,دوبلاكس,سكني,1,7200,56.12
2026,1,الحدود الشماليه,عرعر,المباركية,محل,تجاري,36,0,0
2026,1,الحدود الشماليه,عرعر,هجرة ابن سعيد,محل,تجاري,1,0,0
2026,1,الحدود الشماليه,عرعر,الاصداف,محل,تجاري,1,0,0
2026,1,الحدود الشماليه,رفحاء,الجبهان,محل,تجاري,1,0,0
2026,1,الحدود الشماليه,عرعر,الجوهرة,دور,سكني,6,23900,87.42
2026,1,الحدود الشماليه,عرعر,الجوهرة,استديو,سكني,10,19800,412
2026,1,الحدود الشماليه,عرعر,الناصرية,محل,تجاري,70,0,0
2026,1,الحدود الشماليه,عرعر,البساتين الاداري الشرقي,محل,تجاري,1,0,0
2026,1,الحدود الشماليه,عرعر,الضاحية,شقة,سكني,2,11400,100
2026,1,الحدود الشماليه,عرعر,المروج الشرقي,استديو,سكني,2,18300,244.82
2026,1,الحدود الشماليه,طلعه التمياط,مخطط التوسعي,محل,تجاري,1,0,0
2026,1,الحدود الشماليه,عرعر,المطار,مكتب,تجاري,11,0,0
2026,1,الحدود الشماليه,عرعر,الريان,استديو,سكني,1,17400,145
2026,1,الحدود الشماليه,عرعر,الصالحية,شقة,سكني,111,15217.02,108.38
2026,1,الحدود الشماليه,طريف,العروبة,محل,تجاري,1,0,0
2026,1,الحدود الشماليه,عرعر,الجوهرة,فيلا,سكني,2,41400,108.86
2026,1,الحدود الشماليه,عرعر,إشبيلية الشمالي,شقة,سكني,29,16668.18,151.72
2026,1,الحدود الشماليه,رفحاء,الملز,محل,تجاري,12,0,0
2026,1,الحدود الشماليه,رفحاء,الجميماء,محل,تجاري,23,0,0
2026,1,الحدود الشماليه,طريف,اليرموك,محل,تجاري,10,0,0
2026,1,الحدود الشماليه,طريف,الصالحية,دور,سكني,1,17400,116
2026,1,الحدود الشماليه,رفحاء,الاداري,شقة,سكني,11,12666.66,85.89
2026,1,الحدود الشماليه,عرعر,المحمدية,معرض تجاري,تجاري,3,0,0
2026,1,الحدود الشماليه,عرعر,المباركية,معرض تجاري,تجاري,1,0,0
2026,1,الحدود الشماليه,العويقيلة,الأندلس,محل,تجاري,1,0,0
2026,1,الحدود الشماليه,عرعر,الشذا,محل,تجاري,4,0,0
2026,1,الحدود الشماليه,روضة هباس,مخطط روضة هباس ,محل,تجاري,1,0,0
2026,1,الحدود الشماليه,رفحاء,المدينة,محل,تجاري,1,0,0
2026,1,الحدود الشماليه,عرعر,الناصرية,فيلا,سكني,1,24000,30
2026,1,الحدود الشماليه,عرعر,الروضة,معرض تجاري,تجاري,2,0,0
2026,1,الحدود الشماليه,رفحاء,اليرموك,شقة,سكني,83,12728.3,83.78
2026,1,الحدود الشماليه,عرعر,الأمانة الاداري,شقة,سكني,12,13690.9,99.92
2026,1,الحدود الشماليه,طريف,الروابي,محل,تجاري,7,0,0
2026,1,الحدود الشماليه,رفحاء,الإسكان الخيري,فيلا,سكني,1,26400,205.79
2026,1,الحدود الشماليه,عرعر,المروج الغربي,استديو,سكني,3,14400,96
2026,1,الحدود الشماليه,عرعر,إشبيلية الجنوبي,شقة,سكني,2,15000,85
2026,1,الحدود الشماليه,رفحاء,الشمال,دوبلاكس,سكني,2,24600,76.87
