السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار  ر.س,متوسط الايجار لكل متر مربع ر.س
2026,1,نجران,نجران,الحمر,محل,تجاري,1,0,0
2026,1,نجران,نجران,النهضة,فيلا,سكني,5,26700,109.06
2026,1,نجران,نجران,دحضة,شقة,سكني,130,16925.54,125.12
2026,1,نجران,نجران,الأملاح,شقة,سكني,78,16460,137
2026,1,نجران,نجران,المسماه,شقة,سكني,37,16028.15,130.6
2026,1,نجران,حبونا,الجنجت 1,شقة,سكني,18,15733.33,125.3
2026,1,نجران,شكلاله,شكلاله,شقة,سكني,1,8000,80
2026,1,نجران,نجران,الفهد,مكتب,تجاري,1,0,0
2026,1,نجران,باديه ذى حباب,باديه ذى حباب,دور,سكني,1,12000,120
2026,1,نجران,ذات المزن,ذات المزن,شقة,سكني,1,18000,116.12
2026,1,نجران,نجران,الفهد,استديو,سكني,33,14830.2,270.49
2026,1,نجران,نجران,الجامعة,دور,سكني,6,30000,137.44
2026,1,نجران,نجران,الأملاح,دور,سكني,6,16080,97.76
2026,1,نجران,نجران,الحضن,محل,تجاري,9,0,0
2026,1,نجران,نجران,الفيصلية,دور,سكني,8,18857.14,114.12
2026,1,نجران,شرورة,الملك عبدالله,معرض تجاري,تجاري,1,0,0
2026,1,نجران,نجران,الحايرة,شقة,سكني,47,17216.66,124.75
2026,1,نجران,شرورة,الروضة الجنوبي,شقة,سكني,74,13281.5,89.28
2026,1,نجران,نجران,بني كلب,محل,تجاري,1,0,0
2026,1,نجران,نجران,النهضة,شقة,سكني,116,16263.35,130.66
2026,1,نجران,شرورة,الخالدية أ,شقة,سكني,90,11254.89,72.09
2026,1,نجران,نجران,الجربة,محل,تجاري,3,0,0
2026,1,نجران,بصر,بصر,شقة,سكني,3,18000,134.16
2026,1,نجران,شرورة,الفهد أ,محل,تجاري,12,0,0
2026,1,نجران,شرورة,سلطانة,استديو,سكني,2,7200,120
2026,1,نجران,حبونا,ابا الطحين,شقة,سكني,5,17700,122.66
2026,1,نجران,الحصينية,جنوب الحصينية,شقة,سكني,2,17000,192.5
2026,1,نجران,الحصينية,الامير سلطان,دور,سكني,2,18900,127.04
2026,1,نجران,نجران,الجربة,شقة,سكني,65,16639.83,122.68
2026,1,نجران,شرورة,الصناعية أ,شقة,سكني,10,14760,99.39
2026,1,نجران,بئر عسكر,حى التلال,استديو,سكني,1,13200,412.5
2026,1,نجران,شرورة,الفيصلية أ,محل,تجاري,14,0,0
2026,1,نجران,نجران,نهيقة,شقة,سكني,38,16168.75,127.18
2026,1,نجران,نجران,الفيصلية,شقة,سكني,302,15508.95,130.69
2026,1,نجران,يدمة,العرف,شقة,سكني,2,18000,155.88
2026,1,نجران,الجفره,الجفره,شقة,سكني,1,18000,120
2026,1,نجران,نجران,الضيافة,معرض تجاري,تجاري,2,0,0
2026,1,نجران,نجران,العان,شقة,سكني,7,18428.57,135.86
2026,1,نجران,الحصينية,النهضة 2,شقة,سكني,1,18000,120
2026,1,نجران,نجران,الحايرة,محل,تجاري,2,0,0
2026,1,نجران,حبونا,بطا,شقة,سكني,5,17700,135.33
2026,1,نجران,نجران,الوفاء,دور,سكني,2,18000,88.8
2026,1,نجران,الحجف,الحجف,شقة,سكني,1,12000,53.33
2026,1,نجران,يدمة,الصالحية,شقة,سكني,7,17857.14,101.42
2026,1,نجران,نجران,برك,شقة,سكني,20,16500,133.75
2026,1,نجران,بئر عسكر,حى التلال,شقة,سكني,5,18760,144.5
2026,1,نجران,عشاره,عشاره,شقة,سكني,1,18000,90
2026,1,نجران,نجران,الخرعاء,محل,تجاري,9,0,0
2026,1,نجران,السوايل,السوايل,شقة,سكني,8,13000,88
2026,1,نجران,نجران,الجربة,دور,سكني,1,8000,66.66
2026,1,نجران,نجران,القابل,معرض تجاري,تجاري,2,0,0
2026,1,نجران,الصمع,الصمع,شقة,سكني,2,18000,75
2026,1,نجران,نجران,العريسة,شقة,سكني,333,17490.1,143.83
2026,1,نجران,بئر عسكر,بئر عسكر,شقة,سكني,16,17533.33,136.17
2026,1,نجران,المدره (المداره),المدره (المداره),شقة,سكني,3,15000,106.66
2026,1,نجران,الغميس (الغمبيس),الغميس (الغمبيس),شقة,سكني,56,16298.07,129.68
2026,1,نجران,نجران,الأثايبة,محل,تجاري,50,0,0
2026,1,نجران,الحصينية,الحصينية,دور,سكني,1,20000,70.33
2026,1,نجران,حبونا,الحبابة,شقة,سكني,5,15040,100.83
2026,1,نجران,حبونا,سبوحة,دور,سكني,1,15000,150
2026,1,نجران,نجران,الفهد,دور,سكني,63,21588,116.45
2026,1,نجران,رهوه نصب,رهوه نصب,شقة,سكني,1,15600,78
2026,1,نجران,الصماء,الصماء,شقة,سكني,2,18000,158.06
2026,1,نجران,شرورة,الأمير مشعل أ,دور,سكني,15,17650,87.83
2026,1,نجران,نجران,زور وادعة,استديو,سكني,1,15600,390
2026,1,نجران,بئر عسكر,حى التلال,محل,تجاري,2,0,0
2026,1,نجران,نجران,أبو غبار,استديو,سكني,2,8400,200.66
2026,1,نجران,الوديعه,الوديعه,دور,سكني,3,11333.33,52.76
2026,1,نجران,نجران,الأمير مشعل,معرض تجاري,تجاري,8,0,0
2026,1,نجران,نجران,أبا السعود,شقة,سكني,89,13253.42,117.85
2026,1,نجران,شرورة,الفهد أ,معرض تجاري,تجاري,1,0,0
2026,1,نجران,شرورة,السوق,استديو,سكني,10,7800,216.87
2026,1,نجران,الحصينية,سايلة غزال,محل,تجاري,2,0,0
2026,1,نجران,نجران,صهبان,دور,سكني,1,32400,198.94
2026,1,نجران,بدر الجنوب,بدر الجنوب,دور,سكني,2,12500,97.62
2026,1,نجران,السريحه,السريحه,شقة,سكني,1,18000,100
2026,1,نجران,نجران,الأملاح,محل,تجاري,7,0,0
2026,1,نجران,بادية الرغام,بادية الرغام,شقة,سكني,4,17750,96.21
2026,1,نجران,شرورة,الأمير مشعل أ,محل,تجاري,71,0,0
2026,1,نجران,نجران,الإسكان,دور,سكني,2,26700,153.53
2026,1,نجران,نجران,الشرفة,فيلا,سكني,5,55200,91.84
2026,1,نجران,خباش,خباش,محل,تجاري,3,0,0
2026,1,نجران,العرقين,العرقين,شقة,سكني,3,14000,96.83
2026,1,نجران,نجران,منتزة الملك فهد بن عبدالعزيز,محل,تجاري,2,0,0
2026,1,نجران,نجران,المخباة,دور,سكني,1,36000,120
