السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار  ر.س,متوسط الايجار لكل متر مربع ر.س
2026,1,تبوك,عرده,عرده,شقة,سكني,1,18000,90
2026,1,تبوك,تبوك,الصفاء,معرض تجاري,تجاري,2,0,0
2026,1,تبوك,أملج,الشفا,شقة,سكني,15,20550,171.25
2026,1,تبوك,ضباء,المقيطع,فيلا,سكني,1,120000,240
2026,1,تبوك,تبوك,الورود,شقة,سكني,1075,16008.81,124.59
2026,1,تبوك,تيماء,الصفاء,محل,تجاري,4,0,0
2026,1,تبوك,العويند,العويند,شقة,سكني,2,14700,128.73
2026,1,تبوك,تيماء,الشفاء,دور,سكني,8,14880,71.65
2026,1,تبوك,تبوك,القادسية الاول,فيلا,سكني,1,50000,197.62
2026,1,تبوك,بئر بن هرماس,البلدة القديمة,محل,تجاري,3,0,0
2026,1,تبوك,تبوك,الفيصلية الشمالية,دوبلاكس,سكني,1,21600,144
2026,1,تبوك,أملج,العليا,شقة,سكني,33,26425,158.87
2026,1,تبوك,تبوك,الجامعة,شقة,سكني,7,15871.42,116.44
2026,1,تبوك,أملج,البطحاء,محل,تجاري,29,0,0
2026,1,تبوك,تبوك,سلطانة,شقة,سكني,741,15776.56,129.33
2026,1,تبوك,الوجه,النهضة,شقة,سكني,154,19806.4,145.33
2026,1,تبوك,الشبيكه,الشبيكه,شقة,سكني,1,18000,60
2026,1,تبوك,تبوك,سلطانة,استديو,سكني,22,10044.44,151.71
2026,1,تبوك,البدع - البدع,الروضة,شقة,سكني,34,17961.53,102.87
2026,1,تبوك,حقل,البلدة القديمة,محل,تجاري,7,0,0
2026,1,تبوك,الوجه,ارض سلاح الحدود,دور,سكني,3,81666.66,480.39
2026,1,تبوك,توله,توله,شقة,سكني,1,12000,120
2026,1,تبوك,الكر,الكر,شقة,سكني,1,18000,90
2026,1,تبوك,النابع,النابع,شقة,سكني,1,17500,116.66
2026,1,تبوك,تبوك,غرب الخالدية,محل,تجاري,24,0,0
2026,1,تبوك,أملج,البلد,محل,تجاري,11,0,0
2026,1,تبوك,رحيب,رحيب,محل,تجاري,2,0,0
2026,1,تبوك,المنجور,المنجور,شقة,سكني,5,17400,92
2026,1,تبوك,تبوك,الفيصلية الشمالية,دور,سكني,9,10800,73.03
2026,1,تبوك,الوجه,ج1,محل,تجاري,1,0,0
2026,1,تبوك,تبوك,النهضة,معرض تجاري,تجاري,5,0,0
2026,1,تبوك,تبوك,الهجن,محل,تجاري,3,0,0
2026,1,تبوك,الوجه,حي المصيف,دور,سكني,2,140000,729.63
2026,1,تبوك,قرية المثلث,قرية المثلث,محل,تجاري,1,0,0
2026,1,تبوك,الوجه,النهضة,محل,تجاري,10,0,0
2026,1,تبوك,تبوك,المنطقة الصناعية,محل,تجاري,2,0,0
2026,1,تبوك,ضباء,ضحكان 1,دور,سكني,1,40000,200
2026,1,تبوك,ضباء,المروج,دور,سكني,8,79866.66,354.22
2026,1,تبوك,الزيته,الزيته,شقة,سكني,3,17333.33,139.44
2026,1,تبوك,العلا - الشهيباء,الشهيباء,محل,تجاري,1,0,0
2026,1,تبوك,ضباء,عيانة 2,دور,سكني,4,40200,201
2026,1,تبوك,حميط,حميط,شقة,سكني,1,18000,90
2026,1,تبوك,تبوك,البلدة القديمة,فيلا,سكني,4,55000,212.9
2026,1,تبوك,أملج,النسيم,محل,تجاري,1,0,0
2026,1,تبوك,تيماء,غرناطة,محل,تجاري,8,0,0
2026,1,تبوك,ام نتش,ام نتش,شقة,سكني,1,18000,120
2026,1,تبوك,ابار الخلاص,ابار الخلاص,شقة,سكني,1,18000,225
2026,1,تبوك,تبوك,الفنار,شقة,سكني,22,15150,125.08
2026,1,تبوك,تبوك,الأخضر,شقة,سكني,193,19091.69,133.99
2026,1,تبوك,مزارع جنوب طريق المدينه (الاولى),مزارع جنوب طريق المدينه (الاولى),شقة,سكني,2,18000,60
2026,1,تبوك,تيماء,القاع,شقة,سكني,15,11808.33,91.37
2026,1,تبوك,ابو راكه,ابو راكه,شقة,سكني,1,12000,72.72
2026,1,تبوك,تبوك,التعاون,شقة,سكني,77,16480.3,121.57
2026,1,تبوك,أملج,حي ج2,شقة,سكني,7,19500,104.64
2026,1,تبوك,تبوك,الراية,شقة,سكني,19,18026.66,112.05
2026,1,تبوك,مزارع محجه,مزارع محجه,شقة,سكني,1,9600,64
2026,1,تبوك,أملج,الاندلس,محل,تجاري,1,0,0
2026,1,تبوك,حالة عمار,المنطقة السكنية,شقة,سكني,3,18000,87.27
2026,1,تبوك,تبوك,القادسية الاول,شقة,سكني,407,16167.39,121.27
2026,1,تبوك,ابو القزاز,ابو القزاز,شقة,سكني,9,15277.77,99.77
2026,1,تبوك,أملج,المروج,شقة,سكني,3,100000,444.44
2026,1,تبوك,تيماء,الصفاء,شقة,سكني,29,11908.69,87.04
2026,1,تبوك,الوجه,البلد,محل,تجاري,14,0,0
2026,1,تبوك,أملج,البلد,دور,سكني,1,28700,159.44
2026,1,تبوك,تبوك,الحمراء,محل,تجاري,103,0,0
2026,1,تبوك,تيماء,النسيم,محل,تجاري,3,0,0
2026,1,تبوك,ضباء,السجدة,شقة,سكني,1,18000,150
2026,1,تبوك,أملج,التحلية,شقة,سكني,30,15910,129.64
2026,1,تبوك,تبوك,النظيم,شقة,سكني,264,16538.71,122.65
2026,1,تبوك,تبوك,المروج,استديو,سكني,37,14280,364.05
2026,1,تبوك,تبوك,الفيصلية الشمالية,فيلا,سكني,1,24000,160
2026,1,تبوك,تبوك,اليرموك,استديو,سكني,21,15600,349.88
2026,1,تبوك,تيماء,الشرف,محل,تجاري,1,0,0
2026,1,تبوك,دمج,دمج,شقة,سكني,4,20400,165.75
2026,1,تبوك,تبوك,النخيل,معرض تجاري,تجاري,1,0,0
