السنة,الربع,المنطقة,المدينة,النوع,الاستخدام,عدد الصفقات,مجموع قيم الصفقات,مجموع المساحات,متوسط سعر المتر,أعلى متوسط سعر متر,أقل متوسط سعر متر
2025,4,الشرقية,الخبر,فيلا,سكني,108,141242514.6,45316.648,2916.917227,4717.651405,1557.576
2025,4,الشرقية,القطيف,فيلا,سكني,60,65662819.11,26278.637,2337.219855,4191.7,583.3333333
2025,4,الشرقية,الدمام,أرض,سكني,1047,1499946976,860211.706,1615.909849,6759.962049,0
2025,4,الشرقية,الجبيل,دوبلكس,سكني,32,27760305.51,10775.73,2592.286852,2983.19,2233.06
2025,4,الشرقية,بقيق,أرض,سكني,112,28037657.24,59339.78,335.8971103,689.16,171.43
2025,4,الشرقية,الخفجي,فيلا,سكني,2,925000,1074,NULL,NULL,NULL
2025,4,الشرقية,راس تنورة,شقة,سكني,4,1770000,575.98,NULL,NULL,NULL
2025,4,الشرقية,الدمام,فيلا,سكني,391,532006327.8,169390.23,3408.820319,6771.61,1431.359792
2025,4,الشرقية,النعيرية,أرض,سكني,225,35075756.08,145289.81,82.85031951,388.94,1.39
2025,4,الشرقية,حفر الباطن,أرض,سكني,1118,241334954.9,653126.605,262.0447575,2350,0.32
2025,4,الشرقية,الخبر,شقة,سكني,794,510851337.7,122165.013,3964.782811,6681.79,1170.57
2025,4,الشرقية,الاحساء,دور,سكني,5,2194700,932.35,NULL,NULL,NULL
2025,4,الشرقية,الدمام,شقة,سكني,1010,600227556.3,178490.179,3273.061738,5502.92,0.00652018
2025,4,الشرقية,القرية العليا,أرض,سكني,78,2219000,49981.68,35.29985094,95,1.07
2025,4,الشرقية,الدمام,دوبلكس,سكني,210,169500109,60638.259,2604.905656,3845.898373,2263.79
2025,4,الشرقية,بقيق,فيلا,سكني,1,900000,370.56,NULL,NULL,NULL
2025,4,الشرقية,حفر الباطن,فيلا,سكني,10,5132330.78,5392.67,NULL,NULL,NULL
2025,4,الشرقية,النعيرية,شقة,سكني,1,504071.06,257.07,NULL,NULL,NULL
2025,4,الشرقية,القطيف,دور,سكني,3,1420000,358.89,NULL,NULL,NULL
2025,4,الشرقية,الخفجي,شقة,سكني,1,175000,116.65,NULL,NULL,NULL
2025,4,الشرقية,الخبر,دوبلكس,سكني,73,76600196,24026.18,2839.407839,4433.61754,2371.91
2025,4,الشرقية,الخبر,دور,سكني,3,2890000,1174.04,NULL,NULL,NULL
2025,4,الشرقية,الاحساء,أرض,سكني,1015,540360690.9,495020.045,1070.399984,5000,6.25
2025,4,الشرقية,الاحساء,شقة,سكني,99,49105786.16,17933.84,2677.177221,3754.05,2149.61
2025,4,الشرقية,حفر الباطن,دوبلكس,سكني,1,160000,217.6,NULL,NULL,NULL
2025,4,الشرقية,القيصومة,أرض,سكني,1,50000,400,NULL,NULL,NULL
2025,4,الشرقية,الخفجي,أرض,سكني,292,101983119,189899.62,395.304166,694.44,138.89
2025,4,الشرقية,القطيف,دوبلكس,سكني,15,15695995.33,4301.02,NULL,NULL,NULL
2025,4,الشرقية,راس تنورة,أرض,سكني,24,14076163.4,9998.96,1324.915621,1899.92,881.6
2025,4,الشرقية,القطيف,شقة,سكني,174,116322860.5,33441.47,3405.863466,6484.523604,3214.744964
2025,4,الشرقية,الدمام,دور,سكني,17,4100000,3774.33,980.4306051,982.01,975.5
2025,4,الشرقية,القطيف,أرض,سكني,504,477810376.8,243769.009,2035.948886,5603.87,242.42
2025,4,الشرقية,الاحساء,دوبلكس,سكني,98,68705530,27896.36,2441.665676,2857.983441,2040.12
2025,4,الشرقية,الجبيل,أرض,سكني,1017,452577805,596304.14,468.9506076,7805.05,160
2025,4,الشرقية,القرية العليا,فيلا,سكني,1,5000,903,NULL,NULL,NULL
2025,4,الشرقية,الاحساء,فيلا,سكني,71,60447241.41,31355.61,1827.379408,2758.62069,1250
2025,4,الشرقية,الجبيل,شقة,سكني,145,92115505.29,32047.29,2976.697611,3854.86,2562.18
2025,4,الشرقية,الجبيل,فيلا,سكني,33,44482000,15432.05,2930.343845,3341.194969,2534.854246
2025,4,الشرقية,الخبر,أرض,سكني,906,1304735973,553770.8,2074.427977,6688.52,666.1248851
