السنة,الربع,المنطقة,المدينة,النوع,الاستخدام,عدد الصفقات,مجموع قيم الصفقات,مجموع المساحات,متوسط سعر المتر,أعلى متوسط سعر متر,أقل متوسط سعر متر
2025,1,جازان,احد المسارحة,أرض,سكني,22,7383711.34,11774.66,452.6768928,926.83,195.31
2025,1,جازان,صبيا,أرض,سكني,127,18944278.81,91470.717,90.73423527,355.33,1.85
2025,1,جازان,ضمد,أرض,سكني,29,11008720,21514.074,344.1316124,396.85,250.86
2025,1,جازان,هروب,أرض,سكني,3,164751.51,799.67,NULL,NULL,NULL
2025,1,جازان,فرسان,أرض,سكني,9,972800,4422.53,224.5652174,362.5,150
2025,1,جازان,صبيا,شقة,سكني,7,4034879,1072.53,3190.032379,4325.76,1476.23
2025,1,جازان,صامطة,فيلا,سكني,2,737224.9,1002.5,NULL,NULL,NULL
2025,1,جازان,صبيا,فيلا,سكني,4,1470154.25,2015.19,NULL,NULL,NULL
2025,1,جازان,جازان,أرض,سكني,663,310568737.1,562732.796,618.8000097,2758.19,156.25
2025,1,جازان,ابو عريش,شقة,سكني,22,13296462,3858.85,3384.152609,4195.52,2984.41
2025,1,جازان,ابو عريش,دور,سكني,2,1737910,491.68,NULL,NULL,NULL
2025,1,جازان,بيش,أرض,سكني,98,9948665,60685.1,86.69113771,241.38,0.73
2025,1,جازان,ابو عريش,أرض,سكني,362,89490635.5,290818.91,341.5740475,860,2
2025,1,جازان,جازان,دوبلكس,سكني,27,28186891.19,10090.05,2306.272632,2541.23,2060.61
2025,1,جازان,ابو عريش,فيلا,سكني,6,6275234,2214.75,NULL,NULL,NULL
2025,1,جازان,ضمد,فيلا,سكني,5,4462000,1676.54,NULL,NULL,NULL
2025,1,جازان,الريث,أرض,سكني,2,2200482,29391.16,NULL,NULL,NULL
2025,1,جازان,الطوال,أرض,سكني,12,1022250,8260.5,50.62708549,64.46,32
2025,1,جازان,ابو عريش,دوبلكس,سكني,18,17720729,6205.74,2961.613977,3059.9,2790.52
2025,1,جازان,صبيا,دوبلكس,سكني,3,2276965,1154.45,NULL,NULL,NULL
2025,1,جازان,العارضة,أرض,سكني,1,1000,397.7,NULL,NULL,NULL
2025,1,جازان,احد المسارحة,دور,سكني,1,392000,174.63,NULL,NULL,NULL
2025,1,جازان,الدرب,شقة,سكني,2,961773,254,NULL,NULL,NULL
2025,1,جازان,الدرب,أرض,سكني,20,5909549.95,23974.643,155.221013,367.14,1.96
2025,1,جازان,فيفاء,أرض,سكني,6,136000,3288.5,34.00222965,43.33,25
2025,1,جازان,جازان,دور,سكني,12,8611572,2684.76,NULL,NULL,NULL
2025,1,جازان,جازان,شقة,سكني,457,293061396.9,86356.84,3319.024801,4602.52,507.95
2025,1,جازان,احد المسارحة,فيلا,سكني,1,950000,339.66,NULL,NULL,NULL
2025,1,جازان,الحرث,أرض,سكني,1,30000,599.9,NULL,NULL,NULL
2025,1,جازان,العيدابي,أرض,سكني,26,6606139.2,13427.85,354.9722083,532.8,195.12
2025,1,جازان,صامطة,دوبلكس,سكني,5,5651685,1893.12,NULL,NULL,NULL
2025,1,جازان,صامطة,أرض,سكني,59,31910425,55458.6616,470.0334662,664.06,234.38
2025,1,جازان,ضمد,دوبلكس,سكني,2,1922915,675.42,NULL,NULL,NULL
2025,1,جازان,صامطة,شقة,سكني,9,5290551,1773.69,2920.256058,3310.04,2640.92
2025,1,جازان,جازان,فيلا,سكني,10,11498500,4055.45,NULL,NULL,NULL
2025,1,جازان,ضمد,شقة,سكني,6,2787714,996.07,3018.070162,3159.74,2853.21
