السنة,الربع,المنطقة,المدينة,النوع,الاستخدام,عدد الصفقات,مجموع قيم الصفقات,مجموع المساحات,متوسط سعر المتر,أعلى متوسط سعر متر,أقل متوسط سعر متر
2025,2,جازان,الدرب,دور,سكني,1,450000,134.94,NULL,NULL,NULL
2025,2,جازان,الريث,أرض,سكني,2,488685,1510.63,NULL,NULL,NULL
2025,2,جازان,جازان,دوبلكس,سكني,26,28836114,10360.89,2679.00435,2958.94,2311.61
2025,2,جازان,الدرب,فيلا,سكني,2,1862666.38,810.2,NULL,NULL,NULL
2025,2,جازان,صبيا,شقة,سكني,3,1595580,440.25,NULL,NULL,NULL
2025,2,جازان,ابو عريش,دوبلكس,سكني,9,8007872,3067.17,2395.704254,2681.71,1953.13
2025,2,جازان,العارضة,أرض,سكني,1,270000,900,NULL,NULL,NULL
2025,2,جازان,الدرب,شقة,سكني,1,443000,127.13,NULL,NULL,NULL
2025,2,جازان,صبيا,دوبلكس,سكني,3,2808539,1038.86,NULL,NULL,NULL
2025,2,جازان,هروب,أرض,سكني,4,911889.2,2526.08,NULL,NULL,NULL
2025,2,جازان,صامطة,شقة,سكني,7,4292515,1332.67,3224.845216,3452.86,3023.1
2025,2,جازان,ابو عريش,شقة,سكني,31,17934419.87,5444.7,3457.149539,3942.41,2916.09
2025,2,جازان,فرسان,أرض,سكني,8,1362000,3612.53,195.8333333,275,125
2025,2,جازان,احد المسارحة,دور,سكني,1,523102,178.69,NULL,NULL,NULL
2025,2,جازان,ابو عريش,أرض,سكني,268,60534994.33,168428.34,264.7919387,896.8,62.5
2025,2,جازان,جازان,شقة,سكني,358,216566160.9,66725.15,3264.593713,5214.22,1765.69
2025,2,جازان,احد المسارحة,شقة,سكني,3,1408812,508.85,NULL,NULL,NULL
2025,2,جازان,ضمد,دوبلكس,سكني,1,1050000,424.95,NULL,NULL,NULL
2025,2,جازان,بيش,أرض,سكني,156,24119731.05,91423.969,81.78160641,234.51,4
2025,2,جازان,جازان,فيلا,سكني,6,5459188.48,2250.39,NULL,NULL,NULL
2025,2,جازان,ابو عريش,دور,سكني,5,803000,1751.09,NULL,NULL,NULL
2025,2,جازان,جازان,أرض,سكني,331,161362983.7,337605.399,636.026844,2445.59,2.69
2025,2,جازان,الطوال,أرض,سكني,9,495233,6060.77,32.98969072,36.36,32
2025,2,جازان,احد المسارحة,أرض,سكني,20,20350546.37,185611.2964,115.4486811,823.53,80.01
2025,2,جازان,الدرب,أرض,سكني,10,2819530,6832.19,150.6130636,218.75,28.69
2025,2,جازان,الحرث,أرض,سكني,4,4438958,8267.68,NULL,NULL,NULL
2025,2,جازان,صامطة,فيلا,سكني,2,2847003,964,NULL,NULL,NULL
2025,2,جازان,فيفاء,أرض,سكني,4,270000,9154.5,NULL,NULL,NULL
2025,2,جازان,ابو عريش,فيلا,سكني,4,4279000,1585.89,NULL,NULL,NULL
2025,2,جازان,ضمد,شقة,سكني,1,670000,201.03,NULL,NULL,NULL
2025,2,جازان,ضمد,أرض,سكني,40,8457652,31279.208,266.7768296,507.61,0.97
2025,2,جازان,صامطة,دوبلكس,سكني,4,4404266,1500.11,NULL,NULL,NULL
2025,2,جازان,صامطة,أرض,سكني,62,21781425.66,42485.8,464.7204622,635.87,260
2025,2,جازان,صبيا,أرض,سكني,111,24140332.3,64311.683,129.8477269,381.05,8.33
2025,2,جازان,العيدابي,أرض,سكني,23,8482459.94,25570.544,168.5954596,900,1.41
2025,2,جازان,جازان,دور,سكني,19,13447211,4679.08,3244.800627,3388.83,3024.45
